tipo,artista,genero,nombre,año,id
album,Anderson .Paak,r&b,Oxnard,2018,3rqqwtJE89WoWvMyPTvbZc
album,Anderson .Paak,r&b,Oxnard (Instrumentals),2018,7gdfgCWRXLD9AYiWkz0zJB
album,Eric Clapton,r&b,Happy Xmas,2018,1L3jhywNGVbRmOjprKPvzj
album,Tinashe,r&b,Joyride,2018,0u3rjsCgagcSxHoRtXMKQo
album,Tory Lanez,r&b,LoVE me NOw (ReLoAdeD),2018,0RK6vpJWuCZpNWNdRJ8rpY
album,Tory Lanez,r&b,MEMORIES DON'T DIE,2018,4RQIHpmmapmEpOFNi2GvAB
album,The Weeknd,r&b,"My Dear Melancholy,",2018,4qZBW3f2Q8y0k1A84d4iAO
album,T-Pain,r&b,"Everything Must Go, Vol. 2",2018,1ShbHuoHgmCTuS9i4UUiTB
album,T-Pain,r&b,"Everything Must Go, Vol. 1",2018,7IqCe0MDZvFlv2jwLJkyov
album,"Earth, Wind & Fire",r&b,"Earth, Wind & Fire (Live in Tokyo)",2018,78nJkxQssQHBVOKeLcpscX
album,Ne-Yo,r&b,GOOD MAN (Deluxe),2018,5kXmI1B0BLb2joTTAckz9n
album,Khalid,r&b,Suncity,2018,4UNwL1B7JoymNUiTFJa52B
album,USHER,r&b,"""A""",2018,7JZi4kTfYCJcqOzVbKAYh5
album,Kali Uchis,r&b,Isolation,2018,4EPQtdq6vvwxuYeQTrwDVY
album,SZA,r&b,Black Panther The Album Music From And Inspired By,2018,3pLdWdkj83EYfDN6H2N8MR
album,Ty Dolla $ign,r&b,MIH-TY,2018,16rRmI5wxWWO5dnRWUKCPA
album,Ty Dolla $ign,r&b,Beach House 3 (Deluxe Edition),2018,2wtx5XeYMFOpY40eK9f7fA
album,Masego,r&b,Lady Lady,2018,04a0v7o8qpGSWDdDoXnLf1
album,Omar Apollo,r&b,Stereo,2018,1DEqCWbOzKMhxRoTPz21Ht
album,Blood Orange,r&b,Negro Swan,2018,7bvmGyFDwpHNRRRZJ0AHvn
album,Montell Fish,r&b,It's Beautiful.,2018,6MRvWffD81OCQNUsa5J63K
album,Prince,r&b,Piano & A Microphone 1983,2018,6gbmDvcU1JDPy1niL6YFJY
album,6LACK,r&b,East Atlanta Love Letter,2018,3fc97ZWLIMc1xawhxbKrh2
album,Russ,r&b,ZOO,2018,48Kac3ieDtt9OSp9Fm4g9e
album,NIKI,r&b,Zephyr,2018,1u69qM5ATwhuRSHQd3FD6s
album,Leon Thomas,r&b,Genesis,2018,6RXMHSqYlYAEpDsNYYBj6B
album,Wale,r&b,MMG FOREVER,2018,404Jaj45dEX7fGlxriNHWK
album,Jorja Smith,r&b,Lost & Found,2018,3AlSuZnX4ZCab8eoWnnfbm
album,Jeremih,r&b,MIH-TY,2018,16rRmI5wxWWO5dnRWUKCPA
album,Mark Knopfler,r&b,Down The Road Wherever (Deluxe),2018,50GCIDxmRhgriDpyzmV7qA
album,Mark Knopfler,r&b,Down The Road Wherever,2018,3fmJ8ldQ4wpuRfKBZVLTN8
album,Kool & The Gang,r&b,Collected,2018,2vBpHUDhVTInqSLxkw9Kx2
album,Sevdaliza,r&b,The Calling,2018,6xuGMp1LTIJCiLp4LWwNwP
album,Otis Redding,r&b,Dock of the Bay Sessions,2018,3mdKPgJ2hyDF9ToznWuCn1
album,Summer Walker,r&b,Last Day Of Summer,2018,4hTM8jZ8DCCqglmZUDMSPz
album,Ella Mai,r&b,Ella Mai,2018,67ErXRS9s9pVG8JmFbrdJ0
album,Trey Songz,r&b,11,2018,5Pp9dmBGExH4FNLlaLsLde
album,Trey Songz,r&b,28,2018,0DOSrX5RdPZhLBAuEmO6De
album,Fernandinho,r&b,Fernandinho Em Casa (ao Vivo),2018,06UxOw6wy2Mq3EgdpZZ6r8
album,Toni Braxton,r&b,Sex & Cigarettes,2018,1nmxUznbVkZorzeY4olXco
album,SAINt JHN,r&b,Collection One,2018,1VYRUsEjoHAnE1NNa0Tj3z
album,Rizky Febian,r&b,Jejak,2018,3HPCPn1OeQGzC2FIvyBxBi
album,Janelle Monáe,r&b,Dirty Computer,2018,2PjlaxlMunGOUvcRzlTbtE
album,Kid Ink,r&b,Missed Calls,2018,3xqJtp0XRdgFuvipOOCKX9
album,James Brown,r&b,Say It Live And Loud: Live In Dallas 08.26.68 (Expanded Edition),2018,3CWKIeGmz7cfFVzlpXugar
album,CHIC,r&b,It’s About Time,2018,49o8cBEcowlVsJBj8Kk17b
album,KC & The Sunshine Band,r&b,A Sunshine Christmas (Special Edition),2018,2SluzAGWuy0NdVoJod8eTg
album,Hikaru Utada,r&b,初恋,2018,0vYCN1SXivJ5dS1dasLZug
album,Mario,r&b,Dancing Shadows,2018,2DEpDHpIuQbCsLy0rKyhaI
album,The Temptations,r&b,All The Time,2018,2Rv5fjjTGUaika6wtcJGL5
album,Lloyd,r&b,TRU - LP,2018,091JnKYEdqWQ6tyEbCgAEV
album,Ben Harper,r&b,No Mercy In This Land (Deluxe Edition),2018,6iwWWapZi9KtLsdfoGG3X4
album,Afgan,r&b,DEKADE,2018,3u9tjjOT8BMthxEWTHEKnd
album,Status Quo,r&b,Down Down & Dirty at Wacken,2018,1HpHndPsLgWTFVz2RjqBxa
album,Status Quo,r&b,Down Down & Dignified at the Royal Albert Hall,2018,1WYMXlvGk4AhiOh8Blb4Bk
album,Léo Santana,r&b,Ao Vivo Em Goiânia,2018,0Ovm1SkjHbW11vWJHVlRlS
album,Jacquees,r&b,Lost At Sea 2,2018,5uOz2zcMuMT8FecNBR0CKh
album,Jacquees,r&b,4275 (Bonus Version),2018,03AdJ15pTDdmxry6qkKwlO
album,Gabriela Rocha,r&b,Céu,2018,5MNtZvAvFWwc6eFbrFLbg9
album,Natiruts,r&b,I Love,2018,7r6b9UsRIm7La1648a55Jm
album,Natiruts,r&b,Natibaby,2018,0LIKTD86AWthoyDAMnUVqe
album,Jaden,r&b,The Sunset Tapes: A Cool Tape Story,2018,5SEBhuhm9MbbRg3YOOuaCR
album,Bakar,r&b,Badkid,2018,2QaQGxQuEV9hZYMhpS6Zax
album,Aloe Blacc,r&b,Christmas Funk,2018,5HfWesu5IpPU0pZR23C2Pt
album,Estelle,r&b,Lovers Rock,2018,1dWQbbFSkCNnMbdSJMmsge
album,Anderson .Paak,r&b,Ventura (Instrumentals),2019,4a6u9TUkH1MW2zZkFUYlV0
album,Anderson .Paak,r&b,Ventura,2019,0YF8PfcGbsKg5IaFyPnlyY
album,Kehlani,r&b,While We Wait,2019,73ZvpuYhKDr2FW4vlPsTpW
album,Daniel Caesar,r&b,CASE STUDY 01,2019,7lb4ck9tn2ZaJRrYjhyP9A
album,Marvin Gaye,r&b,What's Going On (Live),2019,6gRTxfBzqEnyKPpdkytlfo
album,Marvin Gaye,r&b,My Funny Valentine,2019,6QeStmYRPbPFDZ6Eb088WV
album,Marvin Gaye,r&b,You're The Man (Expanded Edition),2019,3pEHtJqDihr3HjZCLMJ0Vp
album,Steve Lacy,r&b,Apollo XXI,2019,4hvsfS6cytmO16IfAptVA9
album,Tinashe,r&b,Songs For You,2019,6fYCFakqijh8qlgBOJXICO
album,Tory Lanez,r&b,Chixtape 5,2019,6vVhekA9LRg0MWIQaxI37f
album,Doechii,r&b,"Coven Music Session, Vol. 1",2019,5eXvrU5hvCyxZmOdVDVRSc
album,T-Pain,r&b,1UP,2019,7c4iNRejmThi83qm3ZrDjO
album,"Earth, Wind & Fire",r&b,"Earth, Wind & Fire Millennium Concert Japan '94",2019,7253n8oKnyOumxC2trgmM8
album,Chase Atlantic,r&b,PHASES,2019,2WLUF4duyNMxLMnSMyfN6L
album,Ne-Yo,r&b,Another Kind Of Christmas,2019,7Je8migIu4vEi6JT2XbbYe
album,Chris Brown,r&b,Indigo (Extended),2019,3okhA6w5uau6ZNhnVpwVww
album,Chris Brown,r&b,Indigo,2019,1BfLzaTFI5qKsAAk0Ae6aV
album,Khalid,r&b,Free Spirit,2019,6KT8x5oqZJl9CcnM66hddo
album,Beyoncé,r&b,The Lion King: The Gift,2019,552zi1M53PQAX5OH4FIdTx
album,Beyoncé,r&b,HOMECOMING: THE LIVE ALBUM,2019,35S1JCj5paIfElT2GODl6x
album,Lola Young,r&b,Intro,2019,7nlnkF135vozYOVdbtEi0z
album,Sam Cooke,r&b,"Sam Cooke Soul, Vol. 1",2019,0vXcYX3PLW2NiTuW4CArW1
album,KAYTRANADA,r&b,BUBBA,2019,5FQ4sOGqRWUA5wO20AwPcO
album,Omar Apollo,r&b,Friends,2019,1G3k89T6eKqTXU9qbDqmr6
album,Blood Orange,r&b,Angel's Pulse,2019,3KLLRiCnqYvt78H52TeZ1k
album,Montell Fish,r&b,Bedroom Lofi,2019,6zvGIAgWSOkS1w8F4C42Mi
album,Montell Fish,r&b,Nights & Days.,2019,13G65Pa4a3yM8pfN8wLrH3
album,Ashanti,r&b,Come 2 Me,2019,48u0xBHXLOphE1gZDDOdGk
album,Mariah the Scientist,r&b,MASTER,2019,3WUKQFrLXnp2zeGcJyygkT
album,Prince,r&b,1999 (Super Deluxe Edition),2019,1rVZhQOyV33ZKRNXTnrjTM
album,Prince,r&b,The VERSACE Experience (PRELUDE 2 GOLD),2019,6ru150aGSGFGip4MaxCNiL
album,Prince,r&b,Originals,2019,1X1So5oX4TCFGdK6BN9UXs
album,Little Simz,r&b,GREY Area,2019,3Z8Df4ghTJ7afEWkurB2I1
album,Destiny's Child,r&b,Destiny's Child: The Untold Story Presents Girls Tyme,2019,7lfq6BX56cETlgQEtmHnzF
album,Wale,r&b,Wow... That's Crazy,2019,0JRDNN0AuZZiwyrOWkNDXC
album,Gesaffelstein,r&b,Hyperion,2019,0JA38Ekhsv43y2lBj5GQkQ
album,Joe Cocker,r&b,The 1968 Sessions (Live 1968),2019,4IudcrD3c29RXlA9IGqBuV
album,Mary J. Blige,r&b,HERstory Vol. 1,2019,42trOIladKh6FwRUph59ui
album,Aleesha,r&b,19:19,2019,56mWvQ4n8XIH27b8mFkp0R
album,The Black Keys,r&b,"""Let's Rock""",2019,0aA9rYw8PEv9G7tVIJ9dKg
album,Aretha Franklin,r&b,Aretha Franklin,2019,6zGzgDu5jJIyxvyFA6HR5f
album,ZZ Top,r&b,Goin' 50 (Deluxe Edition),2019,6UrpoekKiXvREznD2aAQkY
album,ZZ Top,r&b,Goin' 50,2019,5NLRTVJbkSYzcsBphObMMg
album,H.E.R.,r&b,I Used To Know Her,2019,0IMTA2Wz6p8CNZ0MDK2zvg
album,Otis Redding,r&b,Live at the Monterey International Pop Festival,2019,2HD66IaGm71axXSA8hPyNg
album,Summer Walker,r&b,Over It,2019,1qgJNWnPIeK9rx7hF8JCPK
album,Lionel Richie,r&b,Hello From Las Vegas (Deluxe),2019,7FIU253gt9jvbTeLfKQbPC
album,FKA twigs,r&b,MAGDALENE,2019,3DMR3yM5crnt1dG9lLaMTZ
album,SAINt JHN,r&b,Ghetto Lenny's Love Songs,2019,0Tbf101DgSbH9k9gOMYjAF
album,Dutch Melrose,r&b,After Hours,2019,2pGvwQlmqbEnOMDN18c7wf
album,James Brown,r&b,Live At Home With His Bad Self (2019 Mix),2019,7w91T8DipsquDd7aw3okyu
album,The Temptations,r&b,Dream Come True (Remastered),2019,6sKltAC8DwHxWO0DpeWyVT
album,CKay,r&b,CKay The First,2019,6lheAtw3IcJvflIhLbykih
album,Ciara,r&b,Beauty Marks,2019,1Ww0yZ7iXbzkE5duwnMVNI
album,The Righteous Brothers,r&b,All Time Greats,2019,24CbH0PK4BnVUWP59klvom
album,PnB Rock,r&b,TrapStar Turnt PopStar (Deluxe Edition),2019,2uBhSx6lqr4RkWM2YUYOrC
album,PnB Rock,r&b,TrapStar Turnt PopStar,2019,3TaYhEM7MtqukeISKBV2cx
album,J.J. Cale,r&b,Stay Around,2019,4ucx366gQtYYZLU2XRGDXz
album,Status Quo,r&b,Backbone,2019,6I6Jc5Y3GGwZclpqzkYMVz
album,Léo Santana,r&b,Macaco Sessions: Léo Santana (Ao Vivo),2019,71ra4tzMbei4soQksKEOGX
album,Léo Santana,r&b,Levada Do Gigante (Ao Vivo / Pt. 1),2019,2V6lppT35Dd0eMw9rNbkJG
album,Jacquees,r&b,Christmas In Decatur,2019,1joyjctBPCXfUPy6cwQyUL
album,Jacquees,r&b,King of R&B,2019,4OloUHZpVVLawhX0DpBSrW
album,Zacari,r&b,Run Wild Run Free,2019,6tTIwDAjHvL2d3PV2fg1Vh
album,Kaash Paige,r&b,Parked Car Convos,2019,5CEfb4A8SgiCOY6R7c7s34
album,Maverick Sabre,r&b,When I Wake Up,2019,7fTeO9yatW5oHOJKKg6FfD
album,Jaden,r&b,ERYS (Deluxe),2019,6cKBoHXh7dKn2gVsGniZ58
album,Ivete Sangalo,r&b,Ivete Sangalo Live Experience (Ao Vivo Em São Paulo / 2018),2019,0qO6ZPC8y2eXVA1AidKGZQ
album,Aloe Blacc,r&b,Christmas Funk (2019),2019,3NdYH3AYyTCjyIDLzcjMsq
album,GIVĒON,r&b,TAKE TIME,2020,1zHR48K6XtWYm6bhrw4J6C
album,Tems,r&b,For Broken Ears,2020,2sU8ByeYc5BOBFNDr58CGV
album,Eric Clapton,r&b,Riding With The King (20th Anniversary Deluxe Edition),2020,7C6mI7TlzE2eyganXsihsI
album,Eric Clapton,r&b,Live in Denmark 1969,2020,1nc6356HcuAFa002IDOGPD
album,Kehlani,r&b,It Was Good Until It Wasn't,2020,6ROLwnmW9pOioLned0DaP3
album,Brent Faiyaz,r&b,Fuck The World - ChopNotSlop,2020,3eeUR5VpTDYcQGM6dsssOZ
album,Brent Faiyaz,r&b,Fuck The World,2020,3vi20DRHkqv4HyVg9Rt9wC
album,Steve Lacy,r&b,The Lo-Fis,2020,6m5qlaMzLtNsQDj3DQY5ji
album,Tinashe,r&b,Comfort & Joy,2020,7phIvzVMKnCXjLbRKdGk1l
album,Bryson Tiller,r&b,A N N I V E R S A R Y,2020,5KpXxX7OUDXRs25qLyN8NA
album,Bryson Tiller,r&b,T R A P S O U L (Deluxe),2020,54B6i7KlSGD9fAzKQB7n89
album,Tory Lanez,r&b,Loner,2020,7piqXIg89Lj9rHrfME4cC5
album,Tory Lanez,r&b,DAYSTAR,2020,1fSr7CMs4ewhuylB6NZCPo
album,Tory Lanez,r&b,The New Toronto 3,2020,2TbrXjwWklhT7JrC5sdUkf
album,Doechii,r&b,Oh The Places You’ll Go,2020,0VV963BfZvQmjzZ14ai7Gu
album,The Weeknd,r&b,After Hours (Deluxe),2020,742eAldb4AJKLoPgJhGRE7
album,The Weeknd,r&b,After Hours,2020,4yP0hdKOZPNshxUOjY0cZj
album,T-Pain,r&b,The Lost Remixes,2020,01wNAJemmGxxn5gmIhJ3GQ
album,PARTYNEXTDOOR,r&b,PARTYPACK,2020,1ZJpGFHYQSTDTIk6bzo5sh
album,PARTYNEXTDOOR,r&b,PARTYMOBILE (Chopped Not Slopped),2020,7954tDYraStpAFjS8SdPfo
album,PARTYNEXTDOOR,r&b,PARTYMOBILE,2020,7z20vHCSgu68lplj1Q976a
album,Chris Brown,r&b,Slime & B,2020,7fZKtzZAsfH0kzeTivu5TG
album,Jason Derulo,r&b,Jason Derulo (10th Anniversary Deluxe),2020,1mbNqu5D67Ry2N9aJFMxTj
album,Alvaro Diaz,r&b,Diaz Antes,2020,5gk9ozZKJuosICdYgwa5JW
album,Beyoncé,r&b,The Lion King: The Gift [Deluxe Edition],2020,7kUuNU2LRmr9XbwLHXU9UZ
album,Kali Uchis,r&b,Sin Miedo (del Amor y Otros Demonios) ∞ [Deluxe Version],2020,64SrjXrYNfYvQcccFmYEHu
album,Kali Uchis,r&b,Sin Miedo (del Amor y Otros Demonios) ∞,2020,00wSTrFxoSzA7eeS1UxHgd
album,Alicia Keys,r&b,ALICIA,2020,1168pCxg0HeTRqyutFf4o1
album,Ty Dolla $ign,r&b,Featuring Ty Dolla $ign,2020,6M4Nu5UgX097dxeF2lm9P8
album,Akon,r&b,Ain’t No Peace,2020,1Rbika7sn7sLt2SGC7IxXf
album,Masego,r&b,Studying Abroad: Extended Stay,2020,1S0yIZRDiFmqCQyTIEV175
