tipo,artista,genero,nombre,año,id
cancion,Kehlani,r&b,Done for Me (feat. Kehlani),2018,1lsBTdE6MGsKeZCD6llNu7
cancion,Brent Faiyaz,r&b,Trust,2018,0oufSLnKQDoBFX5mgkDCgR
cancion,Micro TDH,r&b,Te Vi,2018,059bcIhyc2SBwm6sw2AZzd
cancion,The Weeknd,r&b,Call Out My Name,2018,09mEdoA6zrmBPgTEN5qXmN
cancion,Childish Gambino,r&b,Feels Like Summer,2018,7p4vHnYXkxlzvfePJVpcTr
cancion,Khalid,r&b,lovely (with Khalid),2018,0u2P5u6lvoDfwTYjAADbn4
cancion,Khalid,r&b,Better,2018,2OpBganfGk2GVdSlRdxzaX
cancion,Khalid,r&b,Eastside (with Halsey & Khalid),2018,7FGq80cy8juXBCD2nrqdWU
cancion,Kali Uchis,r&b,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",2018,1otG6j1WHNvl9WgXLWkHTo
cancion,Kali Uchis,r&b,Dead To Me,2018,6LOZws7T3jqZz78unPgFF9
cancion,SZA,r&b,"All The Stars (with SZA) - From ""Black Panther: The Album""",2018,3GCdLUSnKSMJhs4Tj6CV3s
cancion,Ty Dolla $ign,r&b,Scared of the Dark (feat. XXXTENTACION),2018,3vWzyGTu6Ovo1GdrcJqH6e
cancion,Masego,r&b,Tadow,2018,6FMMd1fixOMmhplCevpjL7
cancion,Masego,r&b,Prone,2018,341H8oXb4BrWcrPG8W1ghv
cancion,Masego,r&b,Queen Tings (feat. Tiffany Gouché),2018,23qsOejSgzGLXXLJpJI52o
cancion,KAYTRANADA,r&b,BE YOUR GIRL - KAYTRANADA REMIX,2018,3zp3Mq8krAb1067UL94zJq
cancion,070 Shake,r&b,Glitter,2018,4DJ9ZxVFyv8AWdBmZnV0CN
cancion,Blood Orange,r&b,Charcoal Baby,2018,3bBmpVl9rQKJsFFGLFilIS
cancion,Blood Orange,r&b,Chewing Gum,2018,3jxExv27cf3OSt0BXtAR6Z
cancion,6LACK,r&b,OTW,2018,6Hgh47WXVKtXN5zGOu0hjI
cancion,6LACK,r&b,Pretty Little Fears (feat. J. Cole),2018,4at3d5QWnlibMVN75ECDrp
cancion,Russ,r&b,Missin You Crazy,2018,4ve2uzqdwnHr20G5YgMMqr
cancion,Gesaffelstein,r&b,I Was Never There,2018,1cKHdTo9u0ZymJdPGSh6nq
cancion,Gesaffelstein,r&b,Hurt You,2018,6QdnKD1zwEgyOWtkrdzlOF
cancion,Jorja Smith,r&b,Blue Lights,2018,1It1TxBK3xIQAB4xJkPevn
cancion,Jorja Smith,r&b,The One,2018,1Ahp4PZ1vzdbzBCedUrsqI
cancion,Kool & The Gang,r&b,Get Down On It - Single Version,2018,2je56j0xuoTi1gYkLLMlJU
cancion,Kool & The Gang,r&b,Cherish - Single Version,2018,2yCAGizViD7HZXwNYxJToQ
cancion,Kool & The Gang,r&b,Celebration - Single Version,2018,6HIVJXpdvp1C1ubfnkFnz8
cancion,Kool & The Gang,r&b,Ladies Night - Single Version,2018,3pMeuv4OBarYqVR2bqCPVN
cancion,Otis Redding,r&b,Hard to Handle,2018,7FXuCkl1kfxwS5icDjTwbM
cancion,Summer Walker,r&b,Girls Need Love (with Drake) - Remix,2018,14SaZBTjxlorHJQxXh01Hu
cancion,Summer Walker,r&b,Karma,2018,2Fyjjpg03fn7n5cj0Qm380
cancion,Dijon,r&b,Skin,2018,467t3218y3yihFcyDGWjr0
cancion,Ella Mai,r&b,Trip,2018,6CTWathupIiDs7U4InHnDA
cancion,Ella Mai,r&b,Boo'd Up,2018,4squZv12LD9M8ooJfoVgZS
cancion,Ella Mai,r&b,Naked - Bonus Track,2018,0SbOpoBzBBCqWIcvo94JeD
cancion,Ella Mai,r&b,Whatchamacallit (feat. Chris Brown),2018,1YLfaRr3QIW1fF3nvDO0gX
cancion,Ella Mai,r&b,Shot Clock,2018,2GlATHCDbLW7xq5BE0Bz5g
cancion,Toni Braxton,r&b,Long As I Live,2018,7A0IJM6FR1HQphfdfN66pI
cancion,SAINt JHN,r&b,Reflex,2018,0GA850AWIBdMW3Cfd4ptds
cancion,SAINt JHN,r&b,I Heard You Got Too Litt Last Night,2018,4vjflp3ZHBCnIetwDAt44Q
cancion,SAINt JHN,r&b,Roses,2018,47MhyGA0XUtF9lZJtny3Pd
cancion,Janelle Monáe,r&b,Make Me Feel,2018,5gW5dSy3vXJxgzma4rQuzH
cancion,Janelle Monáe,r&b,I Like That,2018,2EznBGrlmx9wBeYgyDojsA
cancion,Janelle Monáe,r&b,Make Me Feel - EDX Dubai Skyline Remix,2018,2m7QTaFkY4n1EEqZyVvAPe
cancion,Janelle Monáe,r&b,Pynk (feat. Grimes),2018,5OpiyfqaQLdtwHd3SfembH
cancion,Sonder,r&b,One Night Only,2018,74fQgHleHZ4V7Gm1XYcGkj
cancion,CHIC,r&b,I Want Your Love,2018,5hlN9YiUVFC7NGRiwyYFKi
cancion,Hikaru Utada,r&b,あなた,2018,3yCVsL9xnnnhtOQ1CfPD7W
cancion,Lloyd,r&b,Tru,2018,058gdiBln6OADguG08GOaU
cancion,Lloyd,r&b,Caramel,2018,2rqz2W2Fw34FXQLmpcrpSE
cancion,Normani,r&b,Love Lies,2018,45Egmo7icyopuzJN0oMEdk
cancion,Rockwell,r&b,Somebody's Watching Me - Urban Renewal Project Remix,2018,1Rfb5qEJFwECftSHg3gzgk
cancion,Sickick,r&b,Lost My Way,2018,1qCL2enSeGZKLyfFsAmMpW
cancion,Skusta Clee,r&b,Sa Susunod Na Lang,2018,34ob61cxp34Sf7KHK6RnSU
cancion,Skusta Clee,r&b,Pauwi Nako,2018,2tzAN1L07SNwnOdgOEeuQr
cancion,Jacquees,r&b,B.E.D.,2018,1B6TmCvKjC4dopBohVW51x
cancion,Jacquees,r&b,You,2018,01jIO8SJFnpSiNLH1JaBZ5
cancion,Jacquees,r&b,Ocean (feat. Jacquees),2018,2yI8omCrTAyrTcK7NRppu7
cancion,Gabriela Rocha,r&b,Lugar Secreto,2018,7Dp0unlUzhQtk60rVq5mMC
cancion,Gabriela Rocha,r&b,Eu Navegarei,2018,3pyEWO6mEOzOeMobs5BP6p
