tipo,artista,genero,nombre,año,id
cancion,Shinedown,metal,MONSTERS,2018,1qAuIPMALdFtGv2Ymjy5l0
cancion,Shinedown,metal,DEVIL,2018,2hEYslbdYWFSIA6JboUvnR
cancion,Def Leppard,metal,When Love And Hate Collide,2018,4YwR2G26Pp5jNUX3gN3EIP
cancion,Ghost,metal,Dance Macabre,2018,4pIKFpwflOdhYNIRmPTj3E
cancion,Ghost,metal,Rats,2018,1WjcX541kITk0ACPf5K6Bp
cancion,Ice Nine Kills,metal,A Grave Mistake,2018,2mMNBgFRyEiRoGvrdoONeq
cancion,Ice Nine Kills,metal,The American Nightmare,2018,04K2bMi2vyOBwxr5EjDq5O
cancion,Ice Nine Kills,metal,Stabbing In The Dark,2018,7H5q9RsWBDRrKq2qCdv2HG
cancion,Powerwolf,metal,Demons Are a Girl's Best Friend,2018,1KCDsPKFISNM2YZFFAoI7s
cancion,Powerwolf,metal,Incense & Iron,2018,5KDcHol0FbJZCmNivYabkJ
cancion,Powerwolf,metal,Venom of Venus,2018,4cHC6wUiJ0XF1siHpWUSPv
cancion,Black Label Society,metal,Been A Long Time,2018,4IzFnvXPqGzdRI3o0sULaV
cancion,Black Label Society,metal,Rust,2018,6S7qPKFaHfotXNN52NixcN
cancion,Black Label Society,metal,Stillborn,2018,7s6Rk59SDllxPq5omrxJT4
cancion,Black Label Society,metal,Suicide Messiah,2018,7ex3AmxCTBz3zXLx6hWy5q
cancion,Black Label Society,metal,Funeral Bell,2018,1liSJuUBSJ7x5k0pYl48gM
cancion,Black Label Society,metal,Fire It Up,2018,4bfTK8ATbX3wL5M25OiUVZ
cancion,Black Label Society,metal,Blackened Waters,2018,3uMU8dhPVWfAwXkRu4RZdv
cancion,Architects,metal,Doomsday,2018,75R95k0ICuZBFVEjBauOtt
cancion,Parkway Drive,metal,Prey,2018,7lMFAK8dv0QkWpIlZcWQlJ
cancion,Parkway Drive,metal,The Void,2018,5znIVOv7RucpCHGkbonySq
cancion,Godsmack,metal,Bulletproof,2018,4Pp7tPCBM9ywQexWvCz6iH
cancion,Godsmack,metal,When Legends Rise,2018,4k7HTbpyFhYyaks0Kd2OoW
cancion,Godsmack,metal,Under Your Scars,2018,3VePARjg5ortw4ZfCKj0m3
cancion,The Plot In You,metal,FEEL NOTHING,2018,4xDwCYhobDehSBGUmd5H6Y
cancion,The Plot In You,metal,THE ONE YOU LOVED,2018,556JR8TWeOKA0OH9MJKb6B
cancion,Angelus Apatrida,metal,Sharpen the Guillotine,2018,3qy8XCdTUJI7UGynBI7Hkn
cancion,Angelus Apatrida,metal,One of Us,2018,0dAxrZ8ADIrxhX2pVffAdP
cancion,Angelus Apatrida,metal,Farewell,2018,5NQEFteiCGoy2usnctjAG8
cancion,All Them Witches,metal,Diamond,2018,6jlFarCw0PKjGEXof5HDt4
cancion,Wind Walkers,metal,Without Me,2018,54SvbpFPrwWucUVKSFRdW7
cancion,Kid Rock,metal,American Bad Ass - 2018 Remaster,2018,1ut6qrFOKodxA2vIs9sQW1
cancion,Bad Wolves,metal,Zombie,2018,5d8Wq39QLT6OQWsY9paz5n
cancion,Bad Wolves,metal,Hear Me Now,2018,5bINaNAghUCg4uHIsuDgjG
cancion,Bad Wolves,metal,Remember When,2018,2VAQAqrKu8n1eUWPlTzVox
cancion,Bad Wolves,metal,No Masters,2018,2YrxWsYpZBA9lMxpn3vHym
cancion,Bad Wolves,metal,Zombie - Acoustic,2018,6HxrbtjM2HL8iz5C743Ets
cancion,Lèpoka,metal,Yo Controlo,2018,1oLP5bJU6wIWtmfx0xr1qd
cancion,Lèpoka,metal,Goliardos,2018,4s1LnLQZDVvAmzudHJs2kA
cancion,Def Con Dos,metal,Los Borbones Son Unos Ladrones,2018,7BXTCiQvCcfZyFtQ3hXQdh
cancion,Amorphis,metal,The Bee,2018,72KaasbDSttz9SKfYBVrxb
cancion,Fit For A King,metal,When Everything Means Nothing,2018,7ezIUoHieQUZ2b3czrPp82
cancion,Fit For A King,metal,The Price of Agony,2018,7AtpVDfDXLUFVwojUMUYce
cancion,From Ashes to New,metal,My Name,2018,4nPPy5XUiRPp2tXSth6ePl
cancion,From Ashes to New,metal,Crazy,2018,5H2BHKwtTEfOEZPzGPT2I1
cancion,The Amity Affliction,metal,Drag the Lake,2018,4vVzmaBsxXuKrJeMSLRF4y
cancion,The Amity Affliction,metal,Ivy (Doomsday),2018,2Ll0eOXFmIeBlcybOSaQJm
cancion,The Word Alive,metal,RISE,2018,6lkBWNf98tfthAaNovqiVq
cancion,The Word Alive,metal,Why Am I Like This?,2018,1wZy1qIk3qPVv33I9bALi6
cancion,Dynazty,metal,Firesign,2018,3psz7y0y1GrrnHtKzAbiRx
cancion,Skindred,metal,That's My Jam,2018,5q8PArV4Tbt6efvP7qxp0u
cancion,Motionless In White,metal,Another Life,2019,0YZEYxd1oiqZRFhnnmTKKi
cancion,Motionless In White,metal,Disguise,2019,6LNKeK9iJ66iwe16VxG43H
cancion,Motionless In White,metal,Brand New Numb,2019,0vPkRB52RENZMpHybpFKYK
cancion,Motionless In White,metal,Thoughts & Prayers,2019,0y0v0SDevDcGW5rsDElup3
cancion,TOOL,metal,Pneuma,2019,03sEzk1VyrUZSgyhoQR0LZ
cancion,Ghost,metal,Mary On A Cross,2019,2wBnZdVWa5jVpvYRfGU7rP
cancion,Slipknot,metal,Unsainted,2019,5mpUKTdskZea0gStWzeHUZ
cancion,Rammstein,metal,Deutschland,2019,2bPGTMB5sFfFYQ2YvSmup0
cancion,Rammstein,metal,Ausländer,2019,7j43FohbLVulScL7S9sQZk
cancion,Dayseeker,metal,Sleeptalk,2019,53Ssvy5Rww0BPTtOw375zW
