tipo,artista,artista_id,genero,nombre,año,popularidad_artista
album,Judas Priest,2tRsMl4eGxwoNabM08Dm4I,metal,Firepower,2018,65
album,Megadeth,1Yox196W7bzVNZI7RBaPnf,metal,Killing Is My Business...And Business Is Good - The Final Kill,2018,70
album,Shinedown,70BYFdaZbEKbeauJ670ysI,metal,ATTENTION ATTENTION,2018,71
album,Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,metal,Ember,2018,71
album,Parkway Drive,159qqlGwzE04xyqpfAwRLo,metal,Reverence,2018,63
album,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,metal,And Justice for None (Standard),2018,72
album,Five Finger Death Punch,5t28BP42x2axFnqOOMg3CM,metal,And Justice for None (Deluxe),2018,72
album,Pantera,14pVkFUHDL207LzLHtSA18,metal,Live at Dynamo Open Air 1998,2018,71
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,metal,Unzipped (Super Deluxe Edition),2018,65
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,metal,Unzipped (Deluxe Edition),2018,65
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,metal,Unzipped,2018,65
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,metal,The Purple Tour,2018,65
album,Ghost,1Qp56T7n950O3EGMsSl81D,metal,Prequelle,2018,73
album,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,metal,Bad Witch,2018,71
album,Hoobastank,2MqhkhX4npxDZ62ObR5ELO,metal,Push Pull,2018,67
album,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,metal,Evolution (Deluxe Edition),2018,75
album,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,metal,Evolution,2018,75
album,Evanescence,5nGIFgo0shDenQYSE0Sn7c,metal,Synthesis Live,2018,76
album,Bon Jovi,58lV9VcRSjABbAbfWS6skp,metal,This House Is Not For Sale (Deluxe),2018,78
album,Bon Jovi,58lV9VcRSjABbAbfWS6skp,metal,This House Is Not For Sale,2018,78
album,Dream Theater,2aaLAng2L2aWD2FClzwiep,metal,Lost Not Forgotten Archives: Distance Over Time Demos (2018),2018,61
album,A Perfect Circle,4DFhHyjvGYa9wxdHUjtDkc,metal,Eat The Elephant,2018,63
album,Apocalyptica,4Lm0pUvmisUHMdoky5ch2I,metal,Plays Metallica by Four Cellos - A Live Performance,2018,61
album,Ghostemane,3uL4UpqShC4p2x1dJutoRW,metal,N / O / I / S / E,2018,65
album,Lil Darkie,62F9BiUmjqeXbBztCwiX1U,metal,DRAIN THE SWAMP,2018,67
album,Lil Darkie,62F9BiUmjqeXbBztCwiX1U,metal,SHOOT PEOPLE YOU DON'T LIKE,2018,67
album,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metal,The Silver Scream,2018,67
album,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,metal,When Legends Rise,2018,67
album,Alter Bridge,4DWX7u8BV0vZIQSpJQQDWU,metal,Live at the Royal Albert Hall Featuring the Parallax Orchestra,2018,61
album,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,The Sacrament of Sin (Deluxe Version),2018,61
album,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,The Sacrament of Sin,2018,61
album,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,The Symphony of Sin,2018,61
album,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,The Blessed Hellride,2018,63
album,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Stronger Than Death,2018,63
album,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Sonic Brew,2018,63
album,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Skullage,2018,63
