tipo,artista,artista_id,genero,nombre,año,popularidad_artista
album,TINI,7vXDAI8JwjW531ouMGbfcp,pop,Quiero Volver,2018,77
album,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,pop,Prometo (Edición especial),2018,73
album,Morat,5C4PDR4LnhZTbVnKWXuDKD,pop,Balas Perdidas (Edición Especial),2018,79
album,Morat,5C4PDR4LnhZTbVnKWXuDKD,pop,Balas Perdidas,2018,79
album,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,pop,Dua Lipa (Complete Edition),2018,86
album,Pitbull,0TnOYISbd1XYRBk9myaseg,pop,Gotti (Original Motion Picture Soundtrack),2018,84
album,Fuerza Regida,0ys2OFYzWYB5hRDLCsBqxt,pop,En Vivo Puros Corridos,2018,90
album,Taylor Swift,06HL4z0CvFAxyc27GXpf02,pop,Taylor Swift Karaoke: reputation,2018,100
album,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,pop,Origins (Deluxe),2018,86
album,Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,pop,Todas las mujeres que habitan en mí (Deluxe Edition),2018,64
album,Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,pop,Todas las mujeres que habitan en mí,2018,64
album,Maroon 5,04gDigrS5kc9YWfZHwBETP,pop,Red Pill Blues (Deluxe),2018,86
album,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,pop,Live in Buenos Aires,2018,88
album,Aitana,7eLcDZDYHXZCebtQmVFL25,pop,Sus Canciones (Operación Triunfo 2017),2018,76
album,Maka,4lHAjTCvXGu8QIM3cEe93m,pop,Dvende,2018,62
album,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,pop,Singular Act I,2018,92
album,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,pop,Sweetener,2018,91
album,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,pop,A Star Is Born Soundtrack (Without Dialogue),2018,89
album,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,pop,A Star Is Born Soundtrack,2018,89
album,Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,pop,La Cruz Del Mapa,2018,64
album,Sia,5WUlDfRSoLAfcVSX1WnrxN,pop,Everyday Is Christmas (Deluxe Edition),2018,83
album,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,pop,MANTRA,2018,78
album,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,pop,7,2018,87
album,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,pop,7: Anniversary Edition,2018,87
album,Taburete,40Ippe6JeofRURQ4nbF8DT,pop,Madame Ayahuasca,2018,57
album,TWICE,7n2Ycct7Beij7Dj7meI4X0,pop,BDZ (Repackage),2018,83
album,TWICE,7n2Ycct7Beij7Dj7meI4X0,pop,"The year of ""YES""",2018,83
album,TWICE,7n2Ycct7Beij7Dj7meI4X0,pop,YES or YES,2018,83
album,TWICE,7n2Ycct7Beij7Dj7meI4X0,pop,Summer Nights,2018,83
album,Gorillaz,3AA28KZvwAUcZuOKwyblJQ,pop,The Now Now,2018,83
album,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,pop,Springsteen on Broadway,2018,77
album,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,pop,Live On Columbia Records Radio Hour 1995,2018,77
album,Bruce Springsteen,3eqjTLE0HfPfh78zjh6TqT,pop,Live At Hollywood Center Studios 1992 Vol.2,2018,77
album,Yves Tumor,0qu422H5MOoQxGjd4IzHbS,pop,Safe In The Hands of Love,2018,71
album,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,pop,If I Know Me,2018,89
album,Stray Kids,2dIgFjalVxs4ThymZ67YCE,pop,I am YOU,2018,84
album,Stray Kids,2dIgFjalVxs4ThymZ67YCE,pop,I am WHO,2018,84
album,Stray Kids,2dIgFjalVxs4ThymZ67YCE,pop,I am NOT,2018,84
album,Stray Kids,2dIgFjalVxs4ThymZ67YCE,pop,Mixtape,2018,84
album,BTS,3Nrfpe0tUJi4K4DXYWgMUX,pop,Love Yourself 結 'Answer',2018,85
album,BTS,3Nrfpe0tUJi4K4DXYWgMUX,pop,Love Yourself 轉 'Tear',2018,85
album,BTS,3Nrfpe0tUJi4K4DXYWgMUX,pop,FACE YOURSELF,2018,85
album,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,pop,Isolation,2018,83
album,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,pop,MASTERS OF THE SUN VOL. 1,2018,82
album,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,pop,50 Years - Don't Stop,2018,84
album,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,pop,Shawn Mendes,2018,82
album,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,pop,Queen (Deluxe),2018,85
album,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,pop,Queen,2018,85
album,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5,pop,Amala,2018,87
