tipo,artista,artista_id,genero,nombre,año,id,popularidad_cancion
cancion,Kehlani,0cGUm45nv7Z6M6qdXYQGTX,r&b,Done for Me (feat. Kehlani),2018,1lsBTdE6MGsKeZCD6llNu7,70
cancion,Brent Faiyaz,3tlXnStJ1fFhdScmQeLpuG,r&b,Trust,2018,0oufSLnKQDoBFX5mgkDCgR,74
cancion,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,r&b,Call Out My Name,2018,09mEdoA6zrmBPgTEN5qXmN,85
cancion,Micro TDH,1aWJsBQa67l72j1VT3D6Ow,r&b,Te Vi,2018,059bcIhyc2SBwm6sw2AZzd,78
cancion,Childish Gambino,73sIBHcqh3Z3NyqHKZ7FOL,r&b,Feels Like Summer,2018,7p4vHnYXkxlzvfePJVpcTr,73
cancion,Khalid,6LuN9FCkKOj5PcnpouEgny,r&b,lovely (with Khalid),2018,0u2P5u6lvoDfwTYjAADbn4,87
cancion,Khalid,6LuN9FCkKOj5PcnpouEgny,r&b,Better,2018,2OpBganfGk2GVdSlRdxzaX,79
cancion,Khalid,6LuN9FCkKOj5PcnpouEgny,r&b,Eastside (with Halsey & Khalid),2018,7FGq80cy8juXBCD2nrqdWU,77
cancion,SZA,7tYKF4w9nC0nq9CsPZTHyP,r&b,"All The Stars (with SZA) - From ""Black Panther: The Album""",2018,3GCdLUSnKSMJhs4Tj6CV3s,89
cancion,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,r&b,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",2018,1otG6j1WHNvl9WgXLWkHTo,81
cancion,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,r&b,Dead To Me,2018,6LOZws7T3jqZz78unPgFF9,74
cancion,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,r&b,Scared of the Dark (feat. XXXTENTACION),2018,3vWzyGTu6Ovo1GdrcJqH6e,70
cancion,Masego,3ycxRkcZ67ALN3GQJ57Vig,r&b,Tadow,2018,6FMMd1fixOMmhplCevpjL7,73
cancion,Masego,3ycxRkcZ67ALN3GQJ57Vig,r&b,Prone,2018,341H8oXb4BrWcrPG8W1ghv,58
cancion,Masego,3ycxRkcZ67ALN3GQJ57Vig,r&b,Queen Tings (feat. Tiffany Gouché),2018,23qsOejSgzGLXXLJpJI52o,57
cancion,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,r&b,Glitter,2018,4DJ9ZxVFyv8AWdBmZnV0CN,52
cancion,Blood Orange,6LEeAFiJF8OuPx747e1wxR,r&b,Charcoal Baby,2018,3bBmpVl9rQKJsFFGLFilIS,66
cancion,Blood Orange,6LEeAFiJF8OuPx747e1wxR,r&b,Chewing Gum,2018,3jxExv27cf3OSt0BXtAR6Z,62
cancion,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,r&b,BE YOUR GIRL - KAYTRANADA REMIX,2018,3zp3Mq8krAb1067UL94zJq,68
cancion,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,r&b,CHANCES,2018,439X8jGytErRiPnaoUJHju,62
cancion,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,r&b,Make Me Feel,2018,5gW5dSy3vXJxgzma4rQuzH,58
cancion,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,r&b,I Like That,2018,2EznBGrlmx9wBeYgyDojsA,55
cancion,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,r&b,Make Me Feel - EDX Dubai Skyline Remix,2018,2m7QTaFkY4n1EEqZyVvAPe,49
cancion,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,r&b,Pynk (feat. Grimes),2018,5OpiyfqaQLdtwHd3SfembH,45
cancion,Russ,1z7b1Pr1rSlvWRzsW3HOrS,r&b,Missin You Crazy,2018,4ve2uzqdwnHr20G5YgMMqr,64
