tipo,artista,artista_id,genero,nombre,año,popularidad_artista
album,Eric Church,2IvkS5MXK0vPGnwyJsrEyV,country,Desperate Man,2018,71
album,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,country,My Way,2018,70
album,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,country,Made in the USA Collection,2018,70
album,Willie Nelson,5W5bDNCqJ1jbCgTxDD0Cb3,country,Last Man Standing,2018,70
album,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,country,Home State,2018,72
album,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,country,Live on Red Barn Radio I & II,2018,76
album,Kacey Musgraves,70kkdajctXSbqSMJbQO424,country,Golden Hour,2018,73
album,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,country,Rearview Town,2018,75
album,Thomas Rhett,6x2LnllRG5uGarZMsD4iO8,country,Life Changes (Deluxe Version),2018,73
album,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,country,Dumplin' Original Motion Picture Soundtrack,2018,71
album,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,country,Goodnight Nashville,2018,79
album,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,country,Waylon & Willie III,2018,79
album,Jelly Roll,19k8AgwwTSxeaxkOuCQEJs,country,Waylon & Willie 2,2018,79
album,Luke Combs,718COspgdWOnwOFpJHRZHS,country,This One's for You Too (Deluxe Edition),2018,83
album,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,If I Know Me,2018,89
album,Shaboozey,3y2cIKLjiOlp1Np37WiUdH,country,Lady Wrangler,2018,76
album,The Chicks,25IG9fa7cbdmCIy3OnuH57,country,DCX MMXVI Live,2018,65
album,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,country,Ticket To L.A.,2018,65
album,Josh Turner,7vCtweS8UVAXTyau2j0rDT,country,I Serve A Savior,2018,64
album,Colter Wall,3xYXYzm9H3RzyQgBrYwIcx,country,Songs of the Plains,2018,68
