tipo,artista,genero,nombre,año,id
cancion,Florida Georgia Line,country,Meant to Be (feat. Florida Georgia Line),2018,4e4fqjx0Izh4svvTef1z7e
cancion,Jordan Davis,country,Slow Dance In A Parking Lot,2018,6MBUUSIWCzaXW4q58Ktrv9
cancion,Jordan Davis,country,Singles You Up,2018,4LiMQ6G9n84rDUBs9wtwz6
cancion,Jordan Davis,country,Take It From Me,2018,3dCZm5HrG0jIXAHfNkg2H0
cancion,Jason Aldean,country,You Make It Easy,2018,2TXtN9MoV308Y0z1HvyTfV
cancion,Tyler Childers,country,Shake the Frost (Live),2018,19MkwMrRjO7773zpuGss1o
cancion,Tyler Childers,country,Charleston Girl (Live),2018,3R6yNicsZrWF8ybl02imcB
cancion,Kacey Musgraves,country,Slow Burn,2018,6ET9kf9riLETWs9lePUEAI
cancion,Kacey Musgraves,country,Butterflies,2018,30VHURM5NOfoZmqp2iKawS
cancion,Kacey Musgraves,country,Rainbow,2018,79qxwHypONUt3AFq0WPpT9
cancion,Kacey Musgraves,country,Golden Hour,2018,0pMfPzdRiPAoSM9yWF4OcT
cancion,Riley Green,country,When She Comes Home Tonight,2018,3QE9qyQrIgefznSchAYJPB
cancion,Luke Combs,country,Beautiful Crazy,2018,2rxQMGVafnNaRaXlRMWPde
cancion,Luke Combs,country,She Got the Best of Me,2018,698eQRku24PIYPQPHItKlA
cancion,Morgan Wallen,country,Whiskey Glasses,2018,57TEkZN3f84tFJFHFrD4pO
cancion,Barns Courtney,country,Sinners,2018,0eUgkunDciOOiao9Sjw3PW
cancion,Brett Young,country,Catch,2018,53cGGBxGPaRjP0HVUESyW5
cancion,Brett Young,country,Here Tonight,2018,38nVuIj9mi5a8oopOJhSJk
cancion,Kenny Chesney,country,Get Along,2018,6n6OQfBpCgzF9oEg8zhBN7
cancion,Dan + Shay,country,Tequila,2018,42fw0rxRO2xbesF6mJfd4Y
cancion,Dan + Shay,country,Speechless,2018,3GJ4hzg4lrGwU51Y3VARbF
cancion,Dan + Shay,country,All To Myself,2018,08tq1XcHwVt5PHXUo87i0D
cancion,Soap&Skin,country,What A Wonderful World,2018,1HVCTkwQwbYQvNjiv4Os8d
cancion,Soap&Skin,country,Safe With Me,2018,6JXNQLqk8iSHgHp4ag7498
cancion,Soap&Skin,country,Italy,2018,6d8fUSacSzAzpYukmdGibg
cancion,Kid Rock,country,American Bad Ass - 2018 Remaster,2018,1ut6qrFOKodxA2vIs9sQW1
cancion,Kelsea Ballerini,country,This Feeling,2018,4NBTZtAt1F13VvlSKe6KTl
cancion,Kelsea Ballerini,country,Miss Me More,2018,5NfJGBAL9mgFPRQxKJmiX2
cancion,Maren Morris,country,The Middle,2018,09IStsImFySgyp0pIQdqAc
cancion,Bishop Briggs,country,River,2018,3mRLHiSHYtC8Hk7bzZdUs1
cancion,Bishop Briggs,country,White Flag,2018,2ph6BRhGcUzc2W9wIulG5k
cancion,Bishop Briggs,country,Never Tear Us Apart,2018,0zdzgfhY18Au7dD1hOrTrX
cancion,Bishop Briggs,country,River - King Kavalier Remix,2018,0hQvOfNoBr9EV2jCIF6JCQ
cancion,Bishop Briggs,country,Dream,2018,3fHZJOvXmyHeFLFS1sDE30
cancion,Bishop Briggs,country,Wild Horses,2018,1vHyZsydQf4h2yDhujnqvQ
cancion,Elle King,country,Baby Outlaw,2018,6duWrSlajEdgjAfaiKZV31
cancion,Carrie Underwood,country,The Champion - Bonus Track,2018,2F6JxWMP2ZfmVErc3ZTmqQ
cancion,Dierks Bentley,country,Burning Man,2018,4a1oIihVt6xSnDRpgX387M
cancion,Muscadine Bloodline,country,Can't Tell You No,2018,1bvAesXIGNwaE4U7N4QPbj
cancion,Tyler Braden,country,Leave Me Alone,2018,6OI4kx6HcKUAgZKGr9IlXg
cancion,Cody Jinks,country,Must Be the Whiskey,2018,324iakwekGIBGV93syJsVe
cancion,Cole Swindell,country,Break Up in the End,2018,5Z19ylxppfnfdP4JH0u8oj
cancion,Mitchell Tenpenny,country,Drunk Me,2018,1G4cdOtF36ZCs6i2dZoC87
cancion,Paul Cauthen,country,Everybody Walkin' This Land,2018,4Zd9xGAwSs1Hw2hhKRnsJ6
cancion,Upchurch,country,Turn up the Night,2018,1gQf9pbGGzVkph7BUfwi6X
cancion,Brent Cobb,country,Come Home Soon,2018,1cphwoceaKmjUZSRKYbFh2
cancion,Scotty McCreery,country,Five More Minutes,2018,3qTmB5HxP9ilJaiM6B1yuk
cancion,Scotty McCreery,country,This Is It,2018,74CEfiZthUGX5yUNNUM4bj
cancion,Scotty McCreery,country,In Between,2018,2IuazAsyvbb3fFZb0Uvsmk
cancion,Lauren Alaina,country,Ladies In The '90s,2018,4Whem9s6OoP7yFT60m2tU9
cancion,Josh Meloy,country,Washington Street,2018,7lXhOInU1PuJad7zK6pzPt
cancion,The Red Clay Strays,country,Good Godly Woman,2019,6GWMddXRoGtOQRMwxItviV
cancion,Florida Georgia Line,country,Simple,2019,4L9Ds4mpD3SuYoWwFUlv16
cancion,Cody Johnson,country,On My Way to You,2019,3OjNkFFZavF89xvRqWCXmU
cancion,Kane Brown,country,One Thing Right,2019,7gZXCjAy6nxKCQWLEeX4LZ
cancion,Kane Brown,country,Saturday Nights REMIX,2019,0W5oXFrxZNBTIS1eMW9Ofz
cancion,HARDY,country,ONE BEER (feat. Lauren Alaina & Devin Dawson),2019,2tev2oEdAUyNtR1U8gQ8c4
cancion,Brooks & Dunn,country,"1, 2 Many",2019,226le7T3p82reYWzsi9Hsz
