tipo,artista,artista_id,genero,nombre,año,id,popularidad_cancion
cancion,Florida Georgia Line,3b8QkneNDz4JHKKKlLgYZg,country,Meant to Be (feat. Florida Georgia Line),2018,4e4fqjx0Izh4svvTef1z7e,70
cancion,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,country,Slow Dance In A Parking Lot,2018,6MBUUSIWCzaXW4q58Ktrv9,68
cancion,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,country,Singles You Up,2018,4LiMQ6G9n84rDUBs9wtwz6,67
cancion,Jordan Davis,77kULmXAQ6vWer7IIHdGzI,country,Take It From Me,2018,3dCZm5HrG0jIXAHfNkg2H0,66
cancion,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,country,Shake the Frost (Live),2018,19MkwMrRjO7773zpuGss1o,75
cancion,Tyler Childers,13ZEDW6vyBF12HYcZRr4EV,country,Charleston Girl (Live),2018,3R6yNicsZrWF8ybl02imcB,71
cancion,Kacey Musgraves,70kkdajctXSbqSMJbQO424,country,Slow Burn,2018,6ET9kf9riLETWs9lePUEAI,67
cancion,Kacey Musgraves,70kkdajctXSbqSMJbQO424,country,Butterflies,2018,30VHURM5NOfoZmqp2iKawS,66
cancion,Kacey Musgraves,70kkdajctXSbqSMJbQO424,country,Rainbow,2018,79qxwHypONUt3AFq0WPpT9,64
cancion,Kacey Musgraves,70kkdajctXSbqSMJbQO424,country,Golden Hour,2018,0pMfPzdRiPAoSM9yWF4OcT,62
cancion,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,country,You Make It Easy,2018,2TXtN9MoV308Y0z1HvyTfV,76
cancion,Riley Green,2QMsj4XJ7ne2hojxt6v5eb,country,When She Comes Home Tonight,2018,3QE9qyQrIgefznSchAYJPB,72
cancion,Luke Combs,718COspgdWOnwOFpJHRZHS,country,Beautiful Crazy,2018,2rxQMGVafnNaRaXlRMWPde,78
cancion,Luke Combs,718COspgdWOnwOFpJHRZHS,country,She Got the Best of Me,2018,698eQRku24PIYPQPHItKlA,77
cancion,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,country,Whiskey Glasses,2018,57TEkZN3f84tFJFHFrD4pO,80
cancion,Barns Courtney,5tFRohaO5yEsuJxmMnlCO9,country,Sinners,2018,0eUgkunDciOOiao9Sjw3PW,56
cancion,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,country,Catch,2018,53cGGBxGPaRjP0HVUESyW5,59
cancion,Brett Young,0fiWOxhsBsQQvFDtxUQWo0,country,Here Tonight,2018,38nVuIj9mi5a8oopOJhSJk,59
cancion,Kid Rock,7dOBabd5O4CvKrg4iriHTM,country,American Bad Ass - 2018 Remaster,2018,1ut6qrFOKodxA2vIs9sQW1,55
cancion,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,country,Tequila,2018,42fw0rxRO2xbesF6mJfd4Y,67
cancion,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,country,Speechless,2018,3GJ4hzg4lrGwU51Y3VARbF,67
cancion,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,country,All To Myself,2018,08tq1XcHwVt5PHXUo87i0D,60
cancion,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,country,Get Along,2018,6n6OQfBpCgzF9oEg8zhBN7,67
cancion,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,country,This Feeling,2018,4NBTZtAt1F13VvlSKe6KTl,70
cancion,Kelsea Ballerini,3RqBeV12Tt7A8xH3zBDDUF,country,Miss Me More,2018,5NfJGBAL9mgFPRQxKJmiX2,59
cancion,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,country,River,2018,3mRLHiSHYtC8Hk7bzZdUs1,75
cancion,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,country,White Flag,2018,2ph6BRhGcUzc2W9wIulG5k,61
cancion,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,country,Never Tear Us Apart,2018,0zdzgfhY18Au7dD1hOrTrX,57
cancion,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,country,River - King Kavalier Remix,2018,0hQvOfNoBr9EV2jCIF6JCQ,53
cancion,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,country,Dream,2018,3fHZJOvXmyHeFLFS1sDE30,51
cancion,Bishop Briggs,0yb46jwm7gqbZXVXZQ8Z1e,country,Wild Horses,2018,1vHyZsydQf4h2yDhujnqvQ,49
cancion,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,country,The Champion - Bonus Track,2018,2F6JxWMP2ZfmVErc3ZTmqQ,57
cancion,Soap&Skin,2mAYpnSe3g2Y22JcZ2ddku,country,What A Wonderful World,2018,1HVCTkwQwbYQvNjiv4Os8d,40
cancion,Soap&Skin,2mAYpnSe3g2Y22JcZ2ddku,country,Safe With Me,2018,6JXNQLqk8iSHgHp4ag7498,34
cancion,Soap&Skin,2mAYpnSe3g2Y22JcZ2ddku,country,Italy,2018,6d8fUSacSzAzpYukmdGibg,34
cancion,Elle King,3bhu7P5PfngueRHiB9hjcx,country,Baby Outlaw,2018,6duWrSlajEdgjAfaiKZV31,47
cancion,Maren Morris,6WY7D3jk8zTrHtmkqqo5GI,country,The Middle,2018,09IStsImFySgyp0pIQdqAc,78
cancion,Dierks Bentley,7x8nK0m0cP2ksQf0mjWdPS,country,Burning Man,2018,4a1oIihVt6xSnDRpgX387M,61
cancion,Cody Jinks,2v7wIbCkIzxOfT3GnqCexD,country,Must Be the Whiskey,2018,324iakwekGIBGV93syJsVe,68
cancion,Muscadine Bloodline,0EyZDKtc41e4A3a3v69MxD,country,Can't Tell You No,2018,1bvAesXIGNwaE4U7N4QPbj,63
cancion,Tyler Braden,63wjVVauFUQ4gBw6QXTT5N,country,Leave Me Alone,2018,6OI4kx6HcKUAgZKGr9IlXg,54
