tipo,artista,artista_id,genero,nombre,año,id,popularidad_cancion
cancion,Shinedown,70BYFdaZbEKbeauJ670ysI,metal,MONSTERS,2018,1qAuIPMALdFtGv2Ymjy5l0,67
cancion,Shinedown,70BYFdaZbEKbeauJ670ysI,metal,DEVIL,2018,2hEYslbdYWFSIA6JboUvnR,64
cancion,Parkway Drive,159qqlGwzE04xyqpfAwRLo,metal,Prey,2018,7lMFAK8dv0QkWpIlZcWQlJ,61
cancion,Parkway Drive,159qqlGwzE04xyqpfAwRLo,metal,The Void,2018,5znIVOv7RucpCHGkbonySq,59
cancion,Ghost,1Qp56T7n950O3EGMsSl81D,metal,Dance Macabre,2018,4pIKFpwflOdhYNIRmPTj3E,64
cancion,Ghost,1Qp56T7n950O3EGMsSl81D,metal,Rats,2018,1WjcX541kITk0ACPf5K6Bp,59
cancion,Def Leppard,6H1RjVyNruCmrBEWRbD0VZ,metal,When Love And Hate Collide,2018,4YwR2G26Pp5jNUX3gN3EIP,62
cancion,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metal,A Grave Mistake,2018,2mMNBgFRyEiRoGvrdoONeq,65
cancion,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metal,The American Nightmare,2018,04K2bMi2vyOBwxr5EjDq5O,63
cancion,Ice Nine Kills,52qKfVcIV4GS8A8Vay2xtt,metal,Stabbing In The Dark,2018,7H5q9RsWBDRrKq2qCdv2HG,60
cancion,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,metal,Bulletproof,2018,4Pp7tPCBM9ywQexWvCz6iH,57
cancion,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,metal,When Legends Rise,2018,4k7HTbpyFhYyaks0Kd2OoW,56
cancion,Godsmack,6gZq1Q6bdOxsUPUG1TaFbF,metal,Under Your Scars,2018,3VePARjg5ortw4ZfCKj0m3,54
cancion,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,Demons Are a Girl's Best Friend,2018,1KCDsPKFISNM2YZFFAoI7s,59
cancion,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,Incense & Iron,2018,5KDcHol0FbJZCmNivYabkJ,56
cancion,Powerwolf,5HFkc3t0HYETL4JeEbDB1v,metal,Venom of Venus,2018,4cHC6wUiJ0XF1siHpWUSPv,54
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Been A Long Time,2018,4IzFnvXPqGzdRI3o0sULaV,66
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Rust,2018,6S7qPKFaHfotXNN52NixcN,66
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Stillborn,2018,7s6Rk59SDllxPq5omrxJT4,65
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Suicide Messiah,2018,7ex3AmxCTBz3zXLx6hWy5q,61
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Funeral Bell,2018,1liSJuUBSJ7x5k0pYl48gM,61
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Fire It Up,2018,4bfTK8ATbX3wL5M25OiUVZ,59
cancion,Black Label Society,0zfT626RwO6zN3RDYeRit5,metal,Blackened Waters,2018,3uMU8dhPVWfAwXkRu4RZdv,56
cancion,Architects,3ZztVuWxHzNpl0THurTFCv,metal,Doomsday,2018,75R95k0ICuZBFVEjBauOtt,61
cancion,The Plot In You,1cJ5tVoeAEFcZBAwSZ0CtF,metal,FEEL NOTHING,2018,4xDwCYhobDehSBGUmd5H6Y,70
cancion,The Plot In You,1cJ5tVoeAEFcZBAwSZ0CtF,metal,THE ONE YOU LOVED,2018,556JR8TWeOKA0OH9MJKb6B,62
cancion,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,metal,Zombie,2018,5d8Wq39QLT6OQWsY9paz5n,74
cancion,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,metal,Hear Me Now,2018,5bINaNAghUCg4uHIsuDgjG,63
cancion,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,metal,Remember When,2018,2VAQAqrKu8n1eUWPlTzVox,62
cancion,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,metal,No Masters,2018,2YrxWsYpZBA9lMxpn3vHym,53
cancion,Bad Wolves,0eI3X5rAzHRZVe5FPk4MN1,metal,Zombie - Acoustic,2018,6HxrbtjM2HL8iz5C743Ets,52
cancion,Kid Rock,7dOBabd5O4CvKrg4iriHTM,metal,American Bad Ass - 2018 Remaster,2018,1ut6qrFOKodxA2vIs9sQW1,55
cancion,Wind Walkers,2K2bsaNeuQAFkuVwrrlJe0,metal,Without Me,2018,54SvbpFPrwWucUVKSFRdW7,61
cancion,Lèpoka,1UM5OPJuE5dGDgyPSNSAqH,metal,Yo Controlo,2018,1oLP5bJU6wIWtmfx0xr1qd,34
cancion,Def Con Dos,1O4hqQz2nV0jrlF9VEFBNK,metal,Los Borbones Son Unos Ladrones,2018,7BXTCiQvCcfZyFtQ3hXQdh,38
cancion,Of Mice & Men,4tususHNaR68xdgLstlGBA,metal,Unbreakable,2018,78IWqwMHpZMXrdJGez3kSq,50
cancion,Amorphis,2UOVgpgiNTC6KK0vSC77aD,metal,The Bee,2018,72KaasbDSttz9SKfYBVrxb,48
cancion,LANDMVRKS,6G43CiunIxMwb2tQ12vNP6,metal,Scars,2018,0eLcZsqcdFoosQC3DV3d4L,50
cancion,Fit For A King,0OgdRTPItr9dw4XYp4JJUx,metal,When Everything Means Nothing,2018,7ezIUoHieQUZ2b3czrPp82,61
cancion,Fit For A King,0OgdRTPItr9dw4XYp4JJUx,metal,The Price of Agony,2018,7AtpVDfDXLUFVwojUMUYce,51
cancion,Dynazty,5deRBvKxJssHVa9n6B7tWV,metal,Firesign,2018,3psz7y0y1GrrnHtKzAbiRx,45
