tipo,artista,artista_id,genero,nombre,año,id,popularidad_cancion
cancion,TINI,7vXDAI8JwjW531ouMGbfcp,pop,Consejo de Amor (feat. Morat),2018,7GrffUxvaKz4wKmyutin0P,71
cancion,Morat,5C4PDR4LnhZTbVnKWXuDKD,pop,Cuando Nadie Ve,2018,71iAechwVKGu26pahzFL0k,77
cancion,Morat,5C4PDR4LnhZTbVnKWXuDKD,pop,Besos En Guerra,2018,1mlGScrDQqHqmhdIqE8MmA,76
cancion,Morat,5C4PDR4LnhZTbVnKWXuDKD,pop,No Se Va,2018,4khWEpnaijN0G1x019Uzdr,76
cancion,Morat,5C4PDR4LnhZTbVnKWXuDKD,pop,Presiento,2018,2V4hc5gplg7EXlrRUvD4rp,71
cancion,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,pop,Bad Liar,2018,2RSHsoi04658QL5xgQVov3,81
cancion,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,pop,Natural,2018,2FY7b99s15jUprqC0M5NCT,81
cancion,Vanesa Martín,5kSJMVPcTITrSZxTrHllVN,pop,Inventas,2018,48eeeHvDzNvtJiQh5XDs2N,56
cancion,Aitana,7eLcDZDYHXZCebtQmVFL25,pop,Presiento,2018,2V4hc5gplg7EXlrRUvD4rp,71
cancion,Maka,4lHAjTCvXGu8QIM3cEe93m,pop,Cositas del Amor,2018,5USqXyZOu6JOb6mx5bk1Tm,55
cancion,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,pop,Shallow,2018,2VxeLyX666F8uXCJ0dZF8B,84
cancion,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,pop,Always Remember Us This Way,2018,2rbDhOo9Fh61Bbu23T2qCk,84
cancion,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,pop,La tortura,2018,7klcjsUjOT35E862g1BlSC,57
cancion,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,pop,lovely (with Khalid),2018,0u2P5u6lvoDfwTYjAADbn4,87
cancion,Manuel Carrasco,7qAoXV4U0qDxQAUqhszjAA,pop,Qué Bonito Es Querer,2018,6uzGmmQ4CuG9HvZktEy0LF,64
cancion,Sia,5WUlDfRSoLAfcVSX1WnrxN,pop,Dusk Till Dawn (feat. Sia) - Radio Edit,2018,3e7sxremeOE3wTySiOhGiP,81
cancion,Sia,5WUlDfRSoLAfcVSX1WnrxN,pop,Snowman,2018,7uoFMmxln0GPXQ0AcCBXRq,81
cancion,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,pop,Traicionera,2018,4Ft0391aLVNtCPPseh98lp,73
cancion,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,pop,No Hay Nadie Más,2018,3IPJg1sdqLj12kFIndaonN,73
cancion,TWICE,7n2Ycct7Beij7Dj7meI4X0,pop,What is Love?,2018,3zhbXKFjUDw40pTYyCgt1Y,77
cancion,Yves Tumor,0qu422H5MOoQxGjd4IzHbS,pop,Licking An Orchid,2018,2VKAYeINenuAtm8r9bcWnf,47
cancion,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,pop,Whiskey Glasses,2018,57TEkZN3f84tFJFHFrD4pO,80
cancion,BTS,3Nrfpe0tUJi4K4DXYWgMUX,pop,FAKE LOVE,2018,6m1TWFMeon7ai9XLOzdbiR,76
cancion,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,pop,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",2018,1otG6j1WHNvl9WgXLWkHTo,81
