tipo,artista,artista_id,genero,nombre,año,popularidad_artista
album,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,r&b,Oxnard,2018,75
album,Anderson .Paak,3jK9MiCrA42lLAdMGUZpwa,r&b,Oxnard (Instrumentals),2018,75
album,Tinashe,0NIIxcxNHmOoyBx03SfTCD,r&b,Joyride,2018,77
album,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,r&b,"My Dear Melancholy,",2018,94
album,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,r&b,Happy Xmas,2018,71
album,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,r&b,LoVE me NOw (ReLoAdeD),2018,80
album,Tory Lanez,2jku7tDXc6XoB6MO2hFuqg,r&b,MEMORIES DON'T DIE,2018,80
album,Khalid,6LuN9FCkKOj5PcnpouEgny,r&b,Suncity,2018,82
album,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,r&b,"Earth, Wind & Fire (Live in Tokyo)",2018,74
album,USHER,23zg3TcAtWQy7J6upgbUnj,r&b,"""A""",2018,81
album,T-Pain,3aQeKQSyrW4qWr35idm0cy,r&b,"Everything Must Go, Vol. 2",2018,79
album,T-Pain,3aQeKQSyrW4qWr35idm0cy,r&b,"Everything Must Go, Vol. 1",2018,79
album,SZA,7tYKF4w9nC0nq9CsPZTHyP,r&b,Black Panther The Album Music From And Inspired By,2018,88
album,Ne-Yo,21E3waRsmPlU7jZsS13rcj,r&b,GOOD MAN (Deluxe),2018,81
album,Kali Uchis,1U1el3k54VvEUzo3ybLPlM,r&b,Isolation,2018,83
album,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,r&b,MIH-TY,2018,81
album,Ty Dolla $ign,7c0XG5cIJTrrAgEC3ULPiq,r&b,Beach House 3 (Deluxe Edition),2018,81
album,Masego,3ycxRkcZ67ALN3GQJ57Vig,r&b,Lady Lady,2018,69
album,Blood Orange,6LEeAFiJF8OuPx747e1wxR,r&b,Negro Swan,2018,72
album,Janelle Monáe,6ueGR6SWhUJfvEhqkvMsVs,r&b,Dirty Computer,2018,66
album,Wale,67nwj3Y5sZQLl72VNUHEYE,r&b,MMG FOREVER,2018,73
album,Montell Fish,5nvWOyAkfNgVLKESq4fOj2,r&b,It's Beautiful.,2018,73
album,Prince,5a2EaR3hamoenG9rDuVn8j,r&b,Piano & A Microphone 1983,2018,70
