tipo,artista,artista_id,genero,nombre,año,popularidad_artista
album,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,rock,Glastonbury 2000 (Live),2018,77
album,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,rock,Welcome To The Blackout (Live London '78),2018,77
album,Bunbury,4uqzzJg3ww5eH7IgGV7DMT,rock,Canciones 1987-2017 (2018 Remaster),2018,70
album,Muse,12Chz98pHFMPJEknJQMWvI,rock,Simulation Theory (Super Deluxe),2018,76
album,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,rock,The Beatles,2018,83
album,Hombres G,60uh2KYYSCqAgJNxcU4DA0,rock,Huevos Revueltos (En Vivo),2018,70
album,Bon Jovi,58lV9VcRSjABbAbfWS6skp,rock,This House Is Not For Sale (Deluxe),2018,78
album,Bon Jovi,58lV9VcRSjABbAbfWS6skp,rock,This House Is Not For Sale,2018,78
album,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,rock,Voodoo Lounge Uncut (Live),2018,78
album,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,rock,From The Vault: No Security - San Jose 1999 (Live),2018,78
album,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,rock,'68 Comeback Special (50th Anniversary Edition) [Live],2018,77
album,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,rock,Elvis' Christmas Album plus,2018,77
album,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,rock,The Studio Recordings 1954,2018,77
album,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,rock,A Golden Hour Of Elvis Presley,2018,77
album,Andrés Calamaro,3tAICgiSR5PfYY4B8qsoAU,rock,Cargar La Suerte,2018,69
album,Arctic Monkeys,7Ln80lUS6He07XvHI8qqHH,rock,Tranquility Base Hotel & Casino,2018,85
album,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,rock,50 Years - Don't Stop,2018,84
album,Queen,1dfeR4HaWDbWqFHLkxsg1d,rock,Bohemian Rhapsody (The Original Soundtrack),2018,83
album,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,rock,Origins (Deluxe),2018,86
album,Café Quijano,2ECP3nWC88LaFz4oQzTo3Z,rock,La vida no es La la la,2018,58
album,Café Quijano,2ECP3nWC88LaFz4oQzTo3Z,rock,La vida no es La la la (Edición especial),2018,58
album,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,rock,Jarabe Filarmónico,2018,67
album,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,rock,Trench,2018,84
album,R.E.M.,4KWTAlx2RvbpseOGMEmROg,rock,R.E.M. At The BBC (Live),2018,73
album,Maroon 5,04gDigrS5kc9YWfZHwBETP,rock,Red Pill Blues (Deluxe),2018,86
album,Ghost,1Qp56T7n950O3EGMsSl81D,rock,Prequelle,2018,73
album,Mrs. GREEN APPLE,4QvgGvpgzgyUOo8Yp8LDm9,rock,ENSEMBLE,2018,79
album,The Doors,22WZ7M8sxp5THdruNY3gXt,rock,Waiting for the Sun (50th Anniversary Deluxe Edition),2018,72
album,The Doors,22WZ7M8sxp5THdruNY3gXt,rock,Live at the Isle of Wight Festival 1970,2018,72
album,Lynyrd Skynyrd,4MVyzYMgTwdP7Z49wAZHx0,rock,Live in Atlantic City,2018,73
album,Mikel Erentxun,7thnnayFyJnVOAJrpe5wMC,rock,Live At The Roxy,2018,58
album,Bastille,7EQ0qTo7fWT7DPxmxtSYEc,rock,Other People’s Heartache (Pt. 4),2018,72
album,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,rock,21st Century Liability,2018,74
album,Simply Red,1fa0cOhromAZdq2xRA4vv8,rock,"Symphonica in Rosso (Live at Ziggo Dome, Amsterdam)",2018,70
album,Foreigner,6IRouO5mvvfcyxtPDKMYFN,rock,Foreigner with the 21st Century Symphony Orchestra & Chorus,2018,72
album,The Smashing Pumpkins,40Yq4vzPs9VNUrIBG5Jr2i,rock,"SHINY AND OH SO BRIGHT, VOL. 1 / LP: NO PAST. NO FUTURE. NO SUN.",2018,74
album,Three Days Grace,2xiIXseIJcq3nG7C8fHeBj,rock,Outsider,2018,78
album,Eric Clapton,6PAt558ZEZl0DmdXlnjMgD,rock,Happy Xmas,2018,71
album,Coti,1OUDQLymoysITxprkd0Qvj,rock,Coti Sorokin Y Los Brillantes En El Teatro Colón (Live At Teatro Colón / 2018),2018,61
album,Lenny Kravitz,5gznATMVO85ZcLTkE9ULU7,rock,Raise Vibration,2018,71
album,TOTO,0PFtn5NtBbbUNbU9EAmIWF,rock,Old Is New,2018,74
album,TOTO,0PFtn5NtBbbUNbU9EAmIWF,rock,40 Tours Around The Sun (Live),2018,74
album,Sting,0Ty63ceoRnnJKVEYP0VQpk,rock,44/876 (Deluxe),2018,72
album,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,rock,Blood Red Roses (Deluxe Version),2018,73
album,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,rock,Blood Red Roses,2018,73
album,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,rock,The Audience Is That Way (The Rest of the Show) [Vol. 2; Live],2018,77
album,The Goo Goo Dolls,2sil8z5kiy4r76CRTXxBCA,rock,The Audience Is This Way (Live),2018,77
album,Khruangbin,2mVVjNmdjXZZDvhgQWiakk,rock,Con Todo El Mundo,2018,70
album,Neil Young,6v8FB84lnmJs434UJf2Mrm,rock,Songs for Judy,2018,70
album,Neil Young,6v8FB84lnmJs434UJf2Mrm,rock,ROXY: Tonight's the Night Live,2018,70
album,Neil Young,6v8FB84lnmJs434UJf2Mrm,rock,Paradox (Original Music from the Film),2018,70
album,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,rock,Always Ascending,2018,68
album,Babasonicos,2F9pvj94b52wGKs0OqiNi2,rock,Discutible,2018,70
album,Babasonicos,2F9pvj94b52wGKs0OqiNi2,rock,Obras Cumbres,2018,70
album,Nine Inch Nails,0X380XXQSNBYuleKzav5UO,rock,Bad Witch,2018,71
album,Chicago,3iDD7bnsjL9J4fO298r0L0,rock,Chicago II - Live on Soundstage,2018,70
album,Pixies,6zvul52xwTWzilBZl6BUbT,rock,"Live From the Fallout Shelter, 1986",2018,69
album,Alice In Chains,64tNsm6TnZe2zpcMVMOoHL,rock,Rainier Fog,2018,75
album,Volbeat,0L5fC7Ogm2YwgqVCRcF1bT,rock,Let's Boogie! (Live from Telia Parken),2018,70
album,Paul McCartney,4STHEaNw4mPZ2tzheohgXB,rock,Egypt Station,2018,71
album,Billy Idol,7lzordPuZEXxwt9aoVZYmG,rock,Vital Idol: Revitalized,2018,71
album,John Lennon,4x1nvY2FN8jxqAFA0DA02H,rock,Imagine (The Ultimate Collection),2018,70
album,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,rock,Wildness (Deluxe),2018,69
album,Los Enanitos Verdes,4TK1gDgb7QKoPFlzRrBRgR,rock,Huevos Revueltos (En Vivo),2018,72
album,Mark Knopfler,0FI0kxP0BWurTz8cB8BBug,rock,Down The Road Wherever (Deluxe),2018,63
album,Mark Knopfler,0FI0kxP0BWurTz8cB8BBug,rock,Down The Road Wherever,2018,63
album,Zoé,6IdtcAwaNVAggwd6sCKgTI,rock,Aztlán,2018,75
album,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,rock,Electric Ladyland - 50th Anniversary Deluxe Edition,2018,67
album,Jimi Hendrix,776Uo845nYHJpNaStv1Ds4,rock,Both Sides of the Sky,2018,67
album,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,rock,Fiesta Nacional (Mtv Unplugged),2018,67
album,Breaking Benjamin,5BtHciL0e0zOP7prIHn3pP,rock,Ember,2018,71
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,rock,Unzipped (Super Deluxe Edition),2018,65
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,rock,Unzipped (Deluxe Edition),2018,65
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,rock,Unzipped,2018,65
album,Whitesnake,3UbyYnvNIT5DFXU4WgiGpP,rock,The Purple Tour,2018,65
album,AJR,6s22t5Y3prQHyaHWUN1R1C,rock,The Click (Deluxe Edition),2018,71
