tipo,artista,genero,nombre,año,id
album,Pitbull,pop,Gotti (Original Motion Picture Soundtrack),2018,6ZSNnOY2ESMNoVQ5DdvHrj
album,TINI,pop,Quiero Volver,2018,3L2sHT4Y1hbYYTt78OT0me
album,Maka,pop,Dvende,2018,4QGgaFm0Jbzr5AURRlOe7r
album,Vanesa Martín,pop,Todas las mujeres que habitan en mí (Deluxe Edition),2018,5wcjyWL5OETXWK54xULz1z
album,Vanesa Martín,pop,Todas las mujeres que habitan en mí,2018,2McQoPHfRjo0Ol6E3thbEM
album,Taylor Swift,pop,Taylor Swift Karaoke: reputation,2018,1MHuZZrGT36cXLxAQ5cLP3
album,Imagine Dragons,pop,Origins (Deluxe),2018,3JfSxDfmwS5OeHPwLSkrfr
album,Maroon 5,pop,Red Pill Blues (Deluxe),2018,1Li4rADxSxjT2g4xqUcMYh
album,Morat,pop,Balas Perdidas (Edición Especial),2018,1o5GGiUcnDHS9Y6OK9VBTM
album,Morat,pop,Balas Perdidas,2018,43mAHKPa4iB2er88lxD9Q8
album,Sabrina Carpenter,pop,Singular Act I,2018,29mlGxS6kxq1EHxlX1EAZK
album,Fuerza Regida,pop,En Vivo Puros Corridos,2018,6cuMLImONAtfxkZOOIaIev
album,Dua Lipa,pop,Dua Lipa (Complete Edition),2018,0obMz8EHnr3dg6NCUK4xWp
album,Aitana,pop,Sus Canciones (Operación Triunfo 2017),2018,3zpnroZbKfkLpCdOoeQAN6
album,Pablo Alborán,pop,Prometo (Edición especial),2018,1jLNPWcykNvUNoWBWBPjep
album,Coldplay,pop,Live in Buenos Aires,2018,19CvkGjYpifkdwgVJSbog2
album,Ariana Grande,pop,Sweetener,2018,3tx8gQqWbGwqIGZHqDNrGe
album,Lady Gaga,pop,A Star Is Born Soundtrack (Without Dialogue),2018,3edjzMAVB9RYRd4UcZBchx
album,Lady Gaga,pop,A Star Is Born Soundtrack,2018,4sLtOBOzn4s3GDUv3c5oJD
album,Manuel Carrasco,pop,La Cruz Del Mapa,2018,1FwsOQLBtsdLjy2OGsCZZa
album,Sebastian Yatra,pop,MANTRA,2018,1l1zcI8iwJg4WCb7jxHtbN
album,David Guetta,pop,7,2018,5rbJtzuXtpIP0Ykk7ewIit
album,David Guetta,pop,7: Anniversary Edition,2018,0GJU424RiEyYQTLbZcHVA7
album,Yves Tumor,pop,Safe In The Hands of Love,2018,01HArmgfXe7xDaYXWKfhuf
album,TWICE,pop,BDZ (Repackage),2018,1dZtA3Lt9sUGqkM6KWY92x
album,TWICE,pop,"The year of ""YES""",2018,0pzmyJftuTK7i4HLjnfq1n
album,TWICE,pop,YES or YES,2018,25VunQEW0x2W6ALND2Mh4g
album,TWICE,pop,Summer Nights,2018,2GKTroaa4ysyhEdvzpvUoM
album,BLACKPINK,pop,BLACKPINK IN YOUR AREA (Japanese Version),2018,4cpZazoKuj3jD6x2GrSX2w
album,Bruce Springsteen,pop,Springsteen on Broadway,2018,42eusslaYHJvhxttuMbwj9
album,Bruce Springsteen,pop,Live On Columbia Records Radio Hour 1995,2018,6mbfXDnHPuylRnGautwgx7
album,Bruce Springsteen,pop,Live At Hollywood Center Studios 1992 Vol.2,2018,40ZzMYuZTncA0b3kW29iPe
album,Morgan Wallen,pop,If I Know Me,2018,6WKNoni6aDzCTUN1CtJJ5R
album,Gorillaz,pop,The Now Now,2018,1amYhlukNF8WdaQC3gKkgL
album,Kali Uchis,pop,Isolation,2018,4EPQtdq6vvwxuYeQTrwDVY
album,Stray Kids,pop,I am YOU,2018,2zIr9PncoM7K02FmIMtluH
album,Stray Kids,pop,I am WHO,2018,2SACeVKmkXeAXHqLDdTU9N
album,Stray Kids,pop,I am NOT,2018,6xP5hGAHaLArPqF07UYVJL
album,Stray Kids,pop,Mixtape,2018,1kTzTL0iOIE2IAGw83yY4O
album,BTS,pop,Love Yourself 結 'Answer',2018,43wFM1HquliY3iwKWzPN4y
album,BTS,pop,Love Yourself 轉 'Tear',2018,4NIqCxqP9o8Tp6tGLBqd8O
album,BTS,pop,FACE YOURSELF,2018,66J1OXSaS3hBZASOV3el8t
album,Shawn Mendes,pop,Shawn Mendes,2018,2VP96XdMOKTXefI8Nui23s
album,Fleetwood Mac,pop,50 Years - Don't Stop,2018,06JqOkwwy91OxrApXclzYf
album,Doja Cat,pop,Amala,2018,54tInqO543zy0Y5F2VsUQI
album,Black Eyed Peas,pop,MASTERS OF THE SUN VOL. 1,2018,7er6jjv5446zSiCIo6E9Pr
album,Nicki Minaj,pop,Queen (Deluxe),2018,6zA5X3CQ5rgLKhTobyV5Id
album,Nicki Minaj,pop,Queen,2018,4Rh57STD18rbjXbBrx2X65
album,Sia,pop,Everyday Is Christmas (Deluxe Edition),2018,2vcGYJcPfXUmCdcXXqqukg
album,Niña Pastori,pop,Realmente Volando (En Directo),2018,6ZEninUB9PobSF5FVMyFK9
album,Niña Pastori,pop,Bajo Tus Alas,2018,6yhlbykyPWWKvdVHOkNnVb
album,Los Rebujitos,pop,9+1,2018,0G7jolK72pxOZ2sUQAWFZG
album,Taburete,pop,Madame Ayahuasca,2018,6hArPTsC1oCymLqzgHdn0m
