tipo,artista,genero,nombre,año,id
cancion,TINI,pop,Consejo de Amor (feat. Morat),2018,7GrffUxvaKz4wKmyutin0P
cancion,Maka,pop,Cositas del Amor,2018,5USqXyZOu6JOb6mx5bk1Tm
cancion,Vanesa Martín,pop,Inventas,2018,48eeeHvDzNvtJiQh5XDs2N
cancion,Imagine Dragons,pop,Bad Liar,2018,2RSHsoi04658QL5xgQVov3
cancion,Imagine Dragons,pop,Natural,2018,2FY7b99s15jUprqC0M5NCT
cancion,Morat,pop,Cuando Nadie Ve,2018,71iAechwVKGu26pahzFL0k
cancion,Morat,pop,Besos En Guerra,2018,1mlGScrDQqHqmhdIqE8MmA
cancion,Morat,pop,No Se Va,2018,4khWEpnaijN0G1x019Uzdr
cancion,Morat,pop,Presiento,2018,2V4hc5gplg7EXlrRUvD4rp
cancion,Billie Eilish,pop,lovely (with Khalid),2018,0u2P5u6lvoDfwTYjAADbn4
cancion,Aitana,pop,Presiento,2018,2V4hc5gplg7EXlrRUvD4rp
cancion,Alejandro Sanz,pop,La tortura,2018,7klcjsUjOT35E862g1BlSC
cancion,Lady Gaga,pop,Shallow,2018,2VxeLyX666F8uXCJ0dZF8B
cancion,Lady Gaga,pop,Always Remember Us This Way,2018,2rbDhOo9Fh61Bbu23T2qCk
cancion,Manuel Carrasco,pop,Qué Bonito Es Querer,2018,6uzGmmQ4CuG9HvZktEy0LF
cancion,Sebastian Yatra,pop,Traicionera,2018,4Ft0391aLVNtCPPseh98lp
cancion,Sebastian Yatra,pop,No Hay Nadie Más,2018,3IPJg1sdqLj12kFIndaonN
cancion,Yves Tumor,pop,Licking An Orchid,2018,2VKAYeINenuAtm8r9bcWnf
cancion,TWICE,pop,What is Love?,2018,3zhbXKFjUDw40pTYyCgt1Y
cancion,BLACKPINK,pop,DDU-DU DDU-DU,2018,4lQsB3ERTWSNaAN1IkuNRl
cancion,Morgan Wallen,pop,Whiskey Glasses,2018,57TEkZN3f84tFJFHFrD4pO
cancion,Kali Uchis,pop,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",2018,1otG6j1WHNvl9WgXLWkHTo
cancion,Kali Uchis,pop,Dead To Me,2018,6LOZws7T3jqZz78unPgFF9
cancion,BTS,pop,FAKE LOVE,2018,6m1TWFMeon7ai9XLOzdbiR
cancion,Juanes,pop,Besos En Guerra,2018,1mlGScrDQqHqmhdIqE8MmA
cancion,Demarco Flamenco,pop,Quisiera parar el tiempo (feat. Demarco Flamenco),2018,1hlgmYdihiXyDLgEU9BfJM
cancion,Daviles de Novelda,pop,Las Calles De Oro,2018,6RcmGfVU8BsZCkStC7DkIk
cancion,Doja Cat,pop,Candy,2018,1VJwtWR6z7SpZRwipI12be
cancion,Sia,pop,Dusk Till Dawn (feat. Sia) - Radio Edit,2018,3e7sxremeOE3wTySiOhGiP
cancion,Sia,pop,Snowman,2018,7uoFMmxln0GPXQ0AcCBXRq
cancion,JENNIE,pop,SOLO,2018,2wVDWtLKXunswWecARNILj
cancion,Niña Pastori,pop,Válgame Dios (with Antonio Orozco) - En Directo,2018,6GnHyBBUwSC0hvdi3G6ZVW
cancion,The Chainsmokers,pop,This Feeling,2018,4NBTZtAt1F13VvlSKe6KTl
cancion,James Arthur,pop,Rewrite The Stars (with James Arthur & Anne-Marie),2018,6mQLN3zRtAp6ovjusyYKrV
cancion,Khalid,pop,lovely (with Khalid),2018,0u2P5u6lvoDfwTYjAADbn4
cancion,Khalid,pop,Better,2018,2OpBganfGk2GVdSlRdxzaX
cancion,Khalid,pop,Eastside (with Halsey & Khalid),2018,7FGq80cy8juXBCD2nrqdWU
cancion,Ava Max,pop,Into Your Arms (feat. Ava Max),2018,0b11D9D0hMOYCIMN3OKreM
cancion,Piso 21,pop,Te Vi,2018,059bcIhyc2SBwm6sw2AZzd
cancion,Piso 21,pop,Déjala Que Vuelva (feat. Manuel Turizo),2018,1j6xOGusnyXq3l6IryKF3G
cancion,Piso 21,pop,Puntos Suspensivos,2018,04cd1MHVq1D8v1nuTZoCdv
cancion,Piso 21,pop,Te Amo,2018,2RVrdr062uLFxXwIxwdXPH
cancion,Camila Cabello,pop,Havana (feat. Young Thug),2018,1rfofaqEpACxVEHIZBJe6W
cancion,Camila Cabello,pop,Never Be the Same,2018,4eWQlBRaTjPPUlzacqEeoQ
cancion,Camila Cabello,pop,Beautiful (feat. Camila Cabello),2018,4VUwkH455At9kENOfzTqmF
cancion,Maki,pop,Quisiera parar el tiempo (feat. Demarco Flamenco),2018,1hlgmYdihiXyDLgEU9BfJM
cancion,Justin Timberlake,pop,Say Something (feat. Chris Stapleton),2018,1LhMopPAallLeaeNutqbgS
cancion,Cali Y El Dandee,pop,Sirena,2018,1juHIWqgFiDFAKuEBP24Lt
cancion,Cali Y El Dandee,pop,Por Qué Te Vas,2018,1CnjZK9rneIrUzQP09LWJI
cancion,Demi Lovato,pop,Solo (feat. Demi Lovato),2018,3NuK5xMlSlB6K2Qp16zf3h
cancion,Zara Larsson,pop,Symphony (feat. Zara Larsson),2018,72gv4zhNvRVdQA0eOenCal
cancion,Kany García,pop,Confieso,2018,44kI7aJvJAYJkREVk0Rmei
cancion,Kany García,pop,Para Siempre,2018,3w6HBymB6v99gmhz4aiX1g
cancion,ZAYN,pop,Dusk Till Dawn (feat. Sia) - Radio Edit,2018,3e7sxremeOE3wTySiOhGiP
cancion,ZAYN,pop,Let Me,2018,2cEmWBBlCfR9wWrY9JmTyt
cancion,ZAYN,pop,Entertainer,2018,4By48hpAtUx7F7F1yxvwvm
cancion,Charlie Puth,pop,Attention,2018,5cF0dROlMOK5uNZtivgu50
cancion,Charlie Puth,pop,How Long,2018,6wmAHw1szh5RCKSRjiXhPe
cancion,Shreya Ghoshal,pop,Pal,2018,79hQvdTHNBkq2fp2ZrM8b2
cancion,Halsey,pop,Eastside (with Halsey & Khalid),2018,7FGq80cy8juXBCD2nrqdWU
cancion,El Barrio,pop,El Danzar De Las Mariposas,2019,5vTNflh8i8j3w6sMnsh3Gh
cancion,Lana Del Rey,pop,Cinnamon Girl,2019,2mdEsXPu8ZmkHRRtAdC09e
cancion,Billie Eilish,pop,when the party's over,2019,43zdsphuZLzwA9k4DJhU0I
cancion,Olivia Rodrigo,pop,"All I Want - From ""High School Musical: The Musical: The Series""",2019,4Yxc55NX3tAXC2mHRAhtcW
cancion,Camilo,pop,Desconocidos,2019,56f5qnyAlZdlz8wrUDA50h
cancion,Ariana Grande,pop,7 rings,2019,6ocbgoVGwYJhOv1GgI9NsF
cancion,Sebastian Yatra,pop,Cristina,2019,703iVQrfbQsXt7Uzgy1h8k
cancion,Sebastian Yatra,pop,Un Año,2019,2vrpcQNg6itmgVZWsNjWe0
cancion,Omar Montes,pop,Prendio - Remix,2019,4sbStZR5h3l5puBuXRVkkA
cancion,Omar Montes,pop,Alocao (With Bad Gyal),2019,6RyuoOJXNzlVWpfC5xQyeI
cancion,Omar Montes,pop,La Rubia - Remix 2,2019,7KKTnv81z6DmfPIGsZWjOW
cancion,TWICE,pop,FANCY,2019,2qQpFbqqkLOGySgNK8wBXt
cancion,TWICE,pop,Feel Special,2019,3Hz3tTQwOdM6XkA0ALB2G9
cancion,BLACKPINK,pop,Kill This Love,2019,6hvczQ05jc1yGlp9zhb95V
cancion,El Arrebato,pop,Primaveras En El Pelo,2019,5UdVwPVRb5NWmQksw1Lilq
cancion,Galvan Real,pop,La Luna,2019,06Ke9F6uDCPCRlryHzBegD
cancion,Galvan Real,pop,Azahara,2019,0UPa56v0oHyXm8HtEKkHdO
cancion,Galvan Real,pop,Tu Juego,2019,5qUPWCVAWaztvtimGv0Ej3
cancion,Harry Styles,pop,Watermelon Sugar,2019,6UelLqGlWMcVH1E5c4H7lY
cancion,Harry Styles,pop,Falling,2019,1ZMiCix7XSAbfAJlEZWMCp
cancion,Harry Styles,pop,Adore You,2019,3jjujdWJ72nww5eGnfs2E7
cancion,Harry Styles,pop,Fine Line,2019,6VzcQuzTNTMFnJ6rBSaLH9
cancion,Harry Styles,pop,Golden,2019,45S5WTQEGOB1VHr1Q4FuPl
cancion,BTS,pop,Boy With Luv (feat. Halsey),2019,4a9tbd947vo9K8Vti9JwcI
cancion,Shawn Mendes,pop,Señorita,2019,6v3KW9xbzN5yKLt9YKDYA2
cancion,Shawn Mendes,pop,If I Can't Have You,2019,2bT1PH7Cw3J9p3t7nlXCdh
cancion,Demarco Flamenco,pop,Pa Ti y Pa Mí Na Má,2019,2013yX7IujgpGJHzz6Qqsi
cancion,Cigarettes After Sex,pop,Cry,2019,7mDTvYD2ieE4Q28XFziMfJ
cancion,Cigarettes After Sex,pop,Heavenly,2019,5E02BgqYNN9VzafXrYP6Np
cancion,Cigarettes After Sex,pop,Touch,2019,1v7ptGUBS2DbbRmfIG0hU2
cancion,Cigarettes After Sex,pop,Falling In Love,2019,3g7ngtg7xK3N9nKwAjDfH3
cancion,Arijit Singh,pop,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019,2Fv2injs4qAm8mJBGaxVKU
cancion,Daviles de Novelda,pop,Prendio - Remix,2019,4sbStZR5h3l5puBuXRVkkA
cancion,Doja Cat,pop,Streets,2019,60ynsPSSKe6O3sfwRnIBRf
cancion,Miley Cyrus,pop,Nothing Breaks Like a Heart (feat. Miley Cyrus),2019,02dRkCEc8Q5ch4TTcnLxOn
cancion,Natanael Cano,pop,Amor Tumbado,2019,5aJ1M43pinROpwaPnO8KRj
cancion,Hozier,pop,Would That I,2019,0L3oQdYUvVbsOOPJSkZ3C3
cancion,Hozier,pop,Almost (Sweet Music),2019,7uttm8Iurm5uK67Vr9G2Sp
cancion,James Arthur,pop,Car's Outside,2019,0otRX6Z89qKkHkQ9OqJpKt
cancion,James Arthur,pop,Falling Like The Stars,2019,395KzBy0bkb57dEvg6cfzJ
cancion,James Arthur,pop,Naked,2019,2fmyrECK6bdfoGven0UMZx
cancion,Khalid,pop,Beautiful People (feat. Khalid),2019,70eFcWOvlMObDhURTqT4Fv
