tipo,artista,genero,nombre,año,id
album,Megadeth,metal,Killing Is My Business...And Business Is Good - The Final Kill,2018,1fQP14KigA58xjlYNf4Uac
album,Pantera,metal,Live at Dynamo Open Air 1998,2018,3Qku7ETlem9cOMrFUar69v
album,Judas Priest,metal,Firepower,2018,7p3G0OCxtlWyJcPE1FxnyB
album,Nightwish,metal,Decades,2018,7maywFP1bQZyit0l9l0VHb
album,Five Finger Death Punch,metal,And Justice for None (Standard),2018,1puWBmHmo4gAPU0cbp4UhK
album,Five Finger Death Punch,metal,And Justice for None (Deluxe),2018,2IA9d7atwNgtiS6Tpv9WKt
album,Nine Inch Nails,metal,Bad Witch,2018,1eiF9Yybmi5Iuz0UCfxGt3
album,Breaking Benjamin,metal,Ember,2018,2D1s85eD7MLnPd3zjfK4tr
album,Shinedown,metal,ATTENTION ATTENTION,2018,0dtwIycvTaFNjo44QRwWz7
album,Whitesnake,metal,Unzipped (Super Deluxe Edition),2018,2nLoLhMXyu6Fa1W6QLmiFF
album,Whitesnake,metal,Unzipped (Deluxe Edition),2018,4cYrsR5vIAhOSyZpncdlM5
album,Whitesnake,metal,Unzipped,2018,1faWXKpDExpA1AkMb5TO4D
album,Whitesnake,metal,The Purple Tour,2018,4GmOs69DwCSmzmFU49xNk7
album,Ghost,metal,Prequelle,2018,6128JCa2uBqHWia5AzJOKV
album,Hoobastank,metal,Push Pull,2018,5Jp4JAv58ESLgp4dpHtENX
album,Disturbed,metal,Evolution (Deluxe Edition),2018,1IpufqmucrxYUJQxf1AP0n
album,Disturbed,metal,Evolution,2018,0V73oq7XX0jQL8hd1EZWe4
album,Evanescence,metal,Synthesis Live,2018,12NBjimNnuWAP0OXIlwyrZ
album,Bon Jovi,metal,This House Is Not For Sale (Deluxe),2018,08Pq7Aj43ljWU32CDbLsPS
album,Bon Jovi,metal,This House Is Not For Sale,2018,400D8LXbvMuOzi4lVv89FM
album,A Perfect Circle,metal,Eat The Elephant,2018,7nnNLD5cv828YSFxXaezRm
album,Dream Theater,metal,Lost Not Forgotten Archives: Distance Over Time Demos (2018),2018,3813UgywzpXjMYQiWyb859
album,Stone Sour,metal,Hydrograd (Deluxe Edition),2018,5ZIDCr7j6480uxOyYuydny
album,Ghostemane,metal,N / O / I / S / E,2018,2W5rUof3EANdwzqAMtAWhF
album,Lil Darkie,metal,DRAIN THE SWAMP,2018,6LPR8q3Q9xd80nVnJEoGiO
album,Lil Darkie,metal,SHOOT PEOPLE YOU DON'T LIKE,2018,00AWJjRwOuxBDj43Sb6v81
album,P.O.D.,metal,Circles,2018,0PkJwEKWlcwl9qsmHB9xTK
album,Apocalyptica,metal,Plays Metallica by Four Cellos - A Live Performance,2018,4I90qsLwz0d6QOdgZWyJAQ
album,Ice Nine Kills,metal,The Silver Scream,2018,3DVjLNjzyZBVc8eZcJoulz
album,Powerwolf,metal,The Sacrament of Sin (Deluxe Version),2018,3nVas9mA8VSegHfPr3sVBt
album,Powerwolf,metal,The Sacrament of Sin,2018,2t3dociTSaDTmqIlN21rmC
album,Powerwolf,metal,The Symphony of Sin,2018,6aRm0HbA6MhQAe9Jwq1xWc
album,Black Label Society,metal,The Blessed Hellride,2018,2xeT6RXRKJqGS1MLNDJPVc
album,Black Label Society,metal,Stronger Than Death,2018,5zfvKScrfy8RFwYn94AmGM
album,Black Label Society,metal,Sonic Brew,2018,4xYCpFoDuCe8ve3SYTlmtl
album,Black Label Society,metal,Skullage,2018,0rfLyz1OLJ5hiiL7jmWa21
album,Black Label Society,metal,Mafia,2018,0yFCaaNOKgZVhDxZ0mNFeg
album,Black Label Society,metal,Hangover Music Vol. VI,2018,1qdEb007lx0f4he6dB5yyE
album,Black Label Society,metal,Alcohol Fueled Brewtality Live!,2018,2kHIfYuUOGjSdgT4YnBe1U
album,Black Label Society,metal,1919 Eternal,2018,2KS7Ktzy44A0yKiqrZIJVW
album,Black Label Society,metal,Grimmest Hits,2018,4P0VpCtie4owpDpJprwrin
album,Alter Bridge,metal,Live at the Royal Albert Hall Featuring the Parallax Orchestra,2018,4JcPbp6OER74LF82eVfJ89
album,Architects,metal,Holy Hell,2018,3gh9LlHXtUEPkqsWj60Qy7
album,Parkway Drive,metal,Reverence,2018,46hNwndF4Tm6D1cGr0G5zL
