tipo,artista,genero,nombre,año,id
cancion,Bunbury,rock,Aunque no sea conmigo - 2018 Remaster,2018,0rCxrlZhWzLy5ULIEDL3zs
cancion,Café Quijano,rock,Perdonarme (feat. Taburete),2018,4jhyxXSs9e7bmTMOn3txCj
cancion,Twenty One Pilots,rock,Chlorine,2018,23OXdR7YuUBVWh5hSnYJau
cancion,Juanes,rock,Besos En Guerra,2018,1mlGScrDQqHqmhdIqE8MmA
cancion,Imagine Dragons,rock,Bad Liar,2018,2RSHsoi04658QL5xgQVov3
cancion,Imagine Dragons,rock,Natural,2018,2FY7b99s15jUprqC0M5NCT
cancion,Mrs. GREEN APPLE,rock,点描の唄,2018,1sIIlVrnPhrvmTrHtzM7tV
cancion,Ghost,rock,Dance Macabre,2018,4pIKFpwflOdhYNIRmPTj3E
cancion,Ghost,rock,Rats,2018,1WjcX541kITk0ACPf5K6Bp
cancion,Bastille,rock,Happier,2018,7BqHUALzNBTanL6OvsqmC1
cancion,Lenny Kravitz,rock,Low,2018,3zcccQe4KhGXRqRBUwGU3G
cancion,Mazzy Star,rock,"Quiet, The Winter Harbor",2018,4V79NKNUFkjzHWcPLtdlNM
cancion,Zoé,rock,Azul,2018,7ffkdwy4EvMSeUnPVSyqqw
cancion,Zoé,rock,Hielo,2018,2YiqBesMJpszYU6raDOG0R
cancion,AJR,rock,Burn the House Down,2018,4u8Gkqyg87iGSW3hQbbnQZ
cancion,.Feast,rock,Peradaban,2018,4YxEeCKhUl1DawPzsxCPbq
cancion,.Feast,rock,Kami Belum Tentu,2018,38yM3PwNtTSsb8UqEgqaUl
cancion,.Feast,rock,Berita Kehilangan,2018,1OGXIoBfCR3vQSgcMY9Or4
cancion,Khruangbin,rock,August 10,2018,2MIavWMdvbYuRoA2Cw6VkN
cancion,Def Leppard,rock,When Love And Hate Collide,2018,4YwR2G26Pp5jNUX3gN3EIP
cancion,RADWIMPS,rock,Sokkenai,2018,1rYg6v89UhWyPMbr8uf4fl
cancion,Los Auténticos Decadentes,rock,Loco (Tu Forma de Ser) [Ft. Rubén Albarrán] - MTV Unplugged,2018,0639sfoRA7sW4fGS1EzcQu
cancion,Los Auténticos Decadentes,rock,Amor (Ft. Mon Laferte) - MTV Unplugged,2018,1QjfU3jkGInap7Vm9lVJIQ
cancion,Air Supply,rock,Making Love Out of Nothing at All,2018,01MXkFA8sL7at6txavDErt
cancion,Thirty Seconds To Mars,rock,Walk on Water,2018,3TpzgwcbhrZWW9Qrj6MmKd
cancion,LiSA,rock,ADAMAS,2018,6RpBs7BsS9oiHKtzJXsMOS
cancion,Mrs. GREEN APPLE,rock,インフェルノ,2019,2vOAHp8PBBFYqvQUWSoITY
cancion,Mrs. GREEN APPLE,rock,青と夏,2019,5BC6kr6etk2Y9J62AyI4i3
cancion,Ghost,rock,Mary On A Cross,2019,2wBnZdVWa5jVpvYRfGU7rP
cancion,Skillet,rock,Finish Line,2019,2GJ1xx5ZoeIJYbQKLSpoZ3
cancion,YUNGBLUD,rock,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2019,2gTdDMpNxIRFSiu7HutMCg
cancion,YUNGBLUD,rock,11 Minutes (with Halsey feat. Travis Barker),2019,4mGdjNMo0RonTlOEb7cYg4
cancion,ATEEZ,rock,WONDERLAND,2019,6k67RdkVjTZj79c1cRz7IQ
cancion,Sting,rock,Reste,2019,4F0B8TLdJVACskfkkTqHDI
cancion,TOOL,rock,Pneuma,2019,03sEzk1VyrUZSgyhoQR0LZ
cancion,Foster The People,rock,Imagination,2019,2flxduIqEbsicdmPyj1WVW
cancion,The Black Keys,rock,Lo/Hi,2019,25YlltWXRb9k7KbrEBRuhJ
cancion,Cage The Elephant,rock,Social Cues,2019,1KuVdyg8d6NlRhbpHxg5UF
cancion,Cage The Elephant,rock,Black Madonna,2019,4Y6GIje3GErVRIq1Ff5BJq
cancion,Cage The Elephant,rock,Ready To Let Go,2019,4UyAtnwhaKv7EG1BdkBYRI
cancion,The Temper Trap,rock,Sweet Disposition - Vintage Culture & Lazy Bear Remix,2019,6SMu65IO3zujrIEObLwgZt
cancion,ONE OK ROCK,rock,Stand Out Fit In,2019,4zXRMjTaeflesB3Ih4eHnJ
cancion,ONE OK ROCK,rock,Wasted Nights,2019,39LyUQIy7idLxPdsjyZsxe
cancion,back number,rock,HAPPY BIRTHDAY,2019,4FMz2RFrbDGzJO7K4D0vS3
cancion,AJR,rock,100 Bad Days,2019,0WmH9fXWCQ51RQi1kWPJrI
cancion,.Feast,rock,Tarian Penghancur Raya,2019,5vyvUHRYcvFx6aINr6xDpr
cancion,.Feast,rock,Gelora,2019,7ywPDpN6mmGK8bqTH1Bgxf
cancion,No Te Va Gustar,rock,Chau,2019,3uP1USIwwDpOA8uw0LjY2P
cancion,No Te Va Gustar,rock,A Las Nueve,2019,68cko9zdsKwaxgb98sF36S
cancion,No Te Va Gustar,rock,De Nada Sirve,2019,2CFDPiNUxcSOqfQtUHYNxF
cancion,Smash Mouth,rock,All Star - Breathe Carolina Remix,2019,6wKJjrWWP4qpzYbE8oQkc4
cancion,Tame Impala,rock,Borderline,2020,5hM5arv9KDbCHS0k9uqwjr
cancion,Jarabe De Palo,rock,Eso Que Tú Me Das,2020,40tFJtuES1da2fg0OurUdI
cancion,Kenshi Yonezu,rock,Lemon,2020,04TshWXkhV1qkqHzf31Hn6
cancion,Kenshi Yonezu,rock,感電,2020,6H0PLsSYMzDOqhLgyOlzIj
cancion,Mikel Erentxun,rock,Resistiré,2020,5Z3eEWd02O1RekV96ohDPx
cancion,Mikel Erentxun,rock,Héroes,2020,5AAAI4coWxZ69lnvxIt33t
cancion,YUNGBLUD,rock,parents,2020,5v4OkFH0TJ6W1hCFxyn0px
cancion,The Strokes,rock,The Adults Are Talking,2020,5ruzrDWcT0vuJIOMW7gMnW
cancion,The Strokes,rock,Selfless,2020,2t0wwvR15fc3K1ey8OiOaN
cancion,The Strokes,rock,Ode To The Mets,2020,1BLOVHYYlH4JUHQGcpt75R
cancion,The Strokes,rock,Why Are Sundays So Depressing,2020,1aOxOpH4AkGAd8OMrKjyNY
cancion,Coti,rock,Color Esperanza 2020,2020,3eSJmGWqoBRx5wbFCtvPtz
cancion,Foster The People,rock,Lamb's Wool,2020,7egu63DOhNpivWOpGtzqGS
cancion,The Black Keys,rock,Howlin' for You,2020,4yffABDkB5A9flvr9vQFck
cancion,The Black Keys,rock,Tighten Up,2020,3C542UknrX76XSRXTyQ1Qg
cancion,The Black Keys,rock,Everlasting Light,2020,50ruR1ueH4wroJBpJOnjQS
cancion,Starship,rock,Jane,2020,5N41XVCfmPwiBTBiQuuKnG
cancion,John Lennon,rock,Beautiful Boy (Darling Boy) - Ultimate Mix,2020,5Sonv4VmN362mdHGCY4wyZ
cancion,Khruangbin,rock,Texas Sun,2020,24ntSW3QVJzR79lHAAOTaY
cancion,Khruangbin,rock,So We Won't Forget,2020,4HpFU6eMThgW6Cael5AwYy
cancion,Khruangbin,rock,Midnight,2020,7pnVHbcqbmP7LA1ey3ydvu
cancion,Khruangbin,rock,Time (You and I),2020,0S3BtG3i5tkQmehJhIhHF3
cancion,4 Non Blondes,rock,What's Up? - Piano Version,2020,3jQnnfM88ZB7bSD6XjeET4
cancion,LiSA,rock,紅蓮華,2020,0qMip0B2D4ePEjBJvAtYre
cancion,LiSA,rock,再会 (produced by Ayase),2020,52IsIvHidofM9JMjw78Jyz
cancion,Hoobastank,rock,The Reason - Acoustic Version,2020,3rH8cmK0vjnyw9bZdwGkgT
cancion,ENHYPEN,rock,Drunk-Dazed,2021,1wcr8DjnN59Awev8nnKpQ4
cancion,ENHYPEN,rock,FEVER,2021,0UzymivvUH5s8z4PeWZJaK
cancion,Metallica,rock,Enter Sandman - Remastered 2021,2021,3DwQ7AH3xGD9h65ezslm6q
cancion,Metallica,rock,Nothing Else Matters - Remastered 2021,2021,6QAsrXPnMSXIbV0yEJHlEX
cancion,Metallica,rock,The Unforgiven - Remastered 2021,2021,5lqyqPU3JkpCbUbLmTVQPW
cancion,Metallica,rock,Sad But True - Remastered 2021,2021,5ltXoDLlI0rFZAmOXbAp5T
cancion,Phil Collins,rock,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",2021,1fTDYdx5zYfWJSX0JlKO8o
cancion,Elton John,rock,Cold Heart - PNAU Remix,2021,6JIC3hbC28JZKZ8AlAqX8h
cancion,Elton John,rock,Hold Me Closer,2021,5TJEBoTCDbJXiKMdCN9pd3
cancion,Maroon 5,rock,Memories,2021,4cktbXiXOapiLBMprHFErI
